13931,"SELECT gse.lgm_tot_p5#, gse.lgm_tot_p8#                FROM galSpecExtra AS gse                JOIN SpecObjAll AS s ON s.specObjID = gse.specObjID                WHERE s.mjd = # AND s.plate = # AND s.fiberID = #"
2019-10-12 10:51:00,26
2019-10-12 10:52:00,61
2019-10-12 10:53:00,60
2019-10-12 10:54:00,60
2019-10-12 10:55:00,63
2019-10-12 10:56:00,61
2019-10-12 10:57:00,62
2019-10-12 10:58:00,63
2019-10-12 10:59:00,60
2019-10-12 11:00:00,55
2019-10-12 11:01:00,53
2019-10-12 11:02:00,60
2019-10-12 11:03:00,58
2019-10-12 11:04:00,53
2019-10-12 11:05:00,61
2019-10-12 11:06:00,63
2019-10-12 11:07:00,62
2019-10-12 11:08:00,62
2019-10-12 11:09:00,63
2019-10-12 11:10:00,59
2019-10-12 11:11:00,60
2019-10-12 11:12:00,57
2019-10-12 11:13:00,63
2019-10-12 11:14:00,60
2019-10-12 11:15:00,62
2019-10-12 11:16:00,63
2019-10-12 11:17:00,59
2019-10-12 11:18:00,59
2019-10-12 11:19:00,61
2019-10-12 11:20:00,58
2019-10-12 11:21:00,62
2019-10-12 11:22:00,61
2019-10-12 11:23:00,58
2019-10-12 11:24:00,61
2019-10-12 11:25:00,59
2019-10-12 11:26:00,61
2019-10-12 11:27:00,63
2019-10-12 11:28:00,60
2019-10-12 11:29:00,62
2019-10-12 11:30:00,57
2019-10-12 11:31:00,57
2019-10-12 11:32:00,61
2019-10-12 11:33:00,60
2019-10-12 11:34:00,62
2019-10-12 11:35:00,60
2019-10-12 11:36:00,59
2019-10-12 11:37:00,61
2019-10-12 11:38:00,60
2019-10-12 11:39:00,59
2019-10-12 11:40:00,59
2019-10-12 11:41:00,50
2019-10-12 11:42:00,61
2019-10-12 11:43:00,63
2019-10-12 11:44:00,61
2019-10-12 11:45:00,62
2019-10-12 11:46:00,61
2019-10-12 11:47:00,61
2019-10-12 11:48:00,60
2019-10-12 11:49:00,60
2019-10-12 11:50:00,61
2019-10-12 11:51:00,58
2019-10-12 11:52:00,45
2019-10-12 11:53:00,56
2019-10-12 11:54:00,59
2019-10-12 11:55:00,61
2019-10-12 11:56:00,61
2019-10-12 11:57:00,63
2019-10-12 11:58:00,62
2019-10-12 11:59:00,60
2019-10-12 12:00:00,54
2019-10-12 12:01:00,61
2019-10-12 12:02:00,61
2019-10-12 12:03:00,62
2019-10-12 12:04:00,62
2019-10-12 12:05:00,62
2019-10-12 12:06:00,60
2019-10-12 12:07:00,63
2019-10-12 12:08:00,62
2019-10-12 12:09:00,62
2019-10-12 12:10:00,61
2019-10-12 12:11:00,62
2019-10-12 12:12:00,61
2019-10-12 12:13:00,60
2019-10-12 12:14:00,61
2019-10-12 12:15:00,59
2019-10-12 12:16:00,60
2019-10-12 12:17:00,60
2019-10-12 12:18:00,61
2019-10-12 12:19:00,61
2019-10-12 12:20:00,63
2019-10-12 12:21:00,62
2019-10-12 12:22:00,60
2019-10-12 12:23:00,62
2019-10-12 12:24:00,64
2019-10-12 12:25:00,59
