1954,"SELECT DISTINCT p.ra, p.dec, p.clean, p.u, p.g, p.r, p.i, p.z FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-10-12 12:30:00,17
2019-10-12 12:31:00,183
2019-10-12 12:32:00,61
2019-10-12 12:33:00,121
2019-10-12 12:34:00,253
2019-10-12 12:35:00,101
2019-10-12 12:36:00,56
2019-10-12 12:37:00,112
2019-10-12 12:38:00,80
2019-10-12 12:41:00,125
2019-10-12 12:42:00,6
2019-10-12 12:43:00,45
2019-10-12 12:44:00,33
2019-10-12 12:45:00,55
2019-10-12 12:46:00,16
2019-10-12 12:47:00,199
2019-10-12 12:48:00,14
2019-10-12 12:49:00,112
2019-10-12 12:50:00,78
2019-10-12 12:51:00,161
2019-10-12 12:52:00,126
