904,"insert into boron_carbide_training values (&&&, &&&, &&&)"
2019-10-12 19:22:00,1
2019-10-12 19:26:00,44
2019-10-12 19:27:00,72
2019-10-12 19:28:00,71
2019-10-12 19:29:00,71
2019-10-12 19:30:00,69
2019-10-12 19:31:00,70
2019-10-12 19:32:00,69
2019-10-12 19:33:00,71
2019-10-12 19:34:00,69
2019-10-12 19:35:00,70
2019-10-12 19:36:00,68
2019-10-12 19:37:00,70
2019-10-12 19:38:00,70
2019-10-12 19:39:00,19
