1327,"SELECT  top # &&& + cast(p.objId as varchar(#)) + &&& + cast(p.objId as varchar(#)) + &&& as objID,    p.run, p.rerun, p.camcol, p.field, p.obj,    p.type, p.ra, p.dec, p.u,p.g,p.r,p.i,p.z,    p.Err_u, p.Err_g, p.Err_r,p.Err_i,p.Err_z    FROM fGetNearbyObjEq(#,#,#) n JOIN PhotoPrimary p ON n.objID=p.objID"
2019-10-12 07:50:00,3
2019-10-12 07:57:00,4
2019-10-12 07:58:00,2
2019-10-12 08:00:00,3
2019-10-12 08:07:00,4
2019-10-12 08:08:00,2
2019-10-12 08:10:00,3
2019-10-12 08:17:00,4
2019-10-12 08:18:00,2
2019-10-12 08:20:00,3
2019-10-12 08:27:00,4
2019-10-12 08:28:00,2
2019-10-12 08:30:00,4
2019-10-12 08:37:00,4
2019-10-12 08:38:00,2
2019-10-12 08:40:00,3
2019-10-12 08:47:00,4
2019-10-12 08:48:00,2
2019-10-12 08:50:00,3
2019-10-12 08:57:00,4
2019-10-12 08:58:00,2
2019-10-12 09:00:00,3
2019-10-12 09:07:00,4
2019-10-12 09:08:00,2
2019-10-12 09:10:00,3
2019-10-12 09:17:00,4
2019-10-12 09:18:00,2
2019-10-12 09:20:00,3
2019-10-12 09:27:00,4
2019-10-12 09:28:00,2
2019-10-12 09:30:00,3
2019-10-12 09:37:00,4
2019-10-12 09:38:00,2
2019-10-12 09:40:00,3
2019-10-12 09:47:00,4
2019-10-12 09:48:00,2
2019-10-12 09:50:00,4
2019-10-12 09:57:00,4
2019-10-12 09:58:00,2
2019-10-12 10:00:00,4
2019-10-12 10:07:00,4
2019-10-12 10:08:00,2
2019-10-12 10:10:00,4
2019-10-12 10:17:00,4
2019-10-12 10:18:00,2
2019-10-12 10:20:00,3
2019-10-12 10:27:00,4
2019-10-12 10:28:00,2
2019-10-12 10:30:00,3
2019-10-12 10:37:00,4
2019-10-12 10:38:00,2
2019-10-12 10:40:00,3
2019-10-12 10:47:00,4
2019-10-12 10:48:00,2
2019-10-12 10:50:00,3
2019-10-12 10:57:00,4
2019-10-12 10:58:00,2
2019-10-12 11:00:00,3
2019-10-12 11:07:00,4
2019-10-12 11:08:00,2
2019-10-12 11:10:00,1
2019-10-12 11:11:00,2
2019-10-12 11:17:00,4
2019-10-12 11:18:00,2
2019-10-12 11:20:00,1
2019-10-12 11:21:00,2
2019-10-12 11:27:00,4
2019-10-12 11:28:00,2
2019-10-12 11:30:00,1
2019-10-12 11:31:00,2
2019-10-12 11:37:00,4
2019-10-12 11:38:00,2
2019-10-12 11:40:00,1
2019-10-12 11:41:00,2
2019-10-12 11:47:00,4
2019-10-12 11:48:00,2
2019-10-12 11:50:00,1
2019-10-12 11:51:00,2
2019-10-12 11:57:00,4
2019-10-12 11:58:00,2
2019-10-12 12:00:00,1
2019-10-12 12:01:00,3
2019-10-12 12:07:00,4
2019-10-12 12:08:00,2
2019-10-12 12:10:00,1
2019-10-12 12:11:00,2
2019-10-12 12:17:00,4
2019-10-12 12:18:00,2
2019-10-12 12:20:00,1
2019-10-12 12:21:00,2
2019-10-12 12:27:00,4
2019-10-12 12:28:00,2
2019-10-12 12:30:00,1
2019-10-12 12:31:00,3
2019-10-12 12:37:00,4
2019-10-12 12:38:00,2
2019-10-12 12:40:00,1
2019-10-12 12:41:00,2
2019-10-12 12:47:00,4
2019-10-12 12:48:00,2
2019-10-12 12:50:00,1
2019-10-12 12:51:00,2
2019-10-12 12:57:00,4
2019-10-12 12:58:00,2
2019-10-12 13:00:00,1
2019-10-12 13:01:00,2
2019-10-12 13:07:00,4
2019-10-12 13:08:00,2
2019-10-12 13:10:00,1
2019-10-12 13:11:00,2
2019-10-12 13:17:00,4
2019-10-12 13:18:00,2
2019-10-12 13:20:00,2
2019-10-12 13:21:00,2
2019-10-12 13:27:00,4
