23,"select name, type, description from DBObjects where  type in (&&&,&&&) and access=&&& and UPPER(name) like &&&"
2019-05-04 06:55:00,2
2019-05-04 06:56:00,1
2019-05-04 07:36:00,1
2019-05-04 09:51:00,1
2019-05-04 12:48:00,2
2019-05-04 12:50:00,1
2019-05-04 12:55:00,3
2019-05-04 12:56:00,1
2019-05-04 12:57:00,1
2019-05-04 12:58:00,2
2019-05-04 13:01:00,1
2019-05-04 13:08:00,1
2019-05-04 13:17:00,1
2019-05-04 13:18:00,2
2019-05-04 13:28:00,1
2019-05-04 13:29:00,1
2019-05-04 19:59:00,1
