23,"SELECT TOP #  s.plate,s.mjd,s.fiberid  FROM ..SpecObj as s  JOIN dbo.fGetObjFromRect(#,#,#,#) AS b ON s.bestobjid = b.objID  WHERE s.z > # AND s.zWarning = # AND s.z < #"
2019-05-04 11:28:00,2
2019-05-04 11:29:00,1
2019-05-04 11:31:00,1
2019-05-04 11:39:00,1
2019-05-04 11:45:00,1
2019-05-04 11:47:00,1
2019-05-04 12:52:00,1
2019-05-04 12:56:00,1
2019-05-04 13:29:00,1
2019-05-04 13:32:00,1
2019-05-04 14:20:00,1
2019-05-04 14:26:00,1
2019-05-04 14:34:00,1
2019-05-04 14:37:00,1
2019-05-04 14:47:00,1
2019-05-04 14:52:00,1
2019-05-04 14:55:00,1
2019-05-04 15:03:00,2
2019-05-04 15:10:00,1
2019-05-04 15:21:00,1
2019-05-04 15:22:00,1
