37,select * from fDocFunctionParams(&&&)
2019-05-04 00:28:00,1
2019-05-04 00:59:00,1
2019-05-04 01:00:00,1
2019-05-04 01:08:00,4
2019-05-04 01:09:00,6
2019-05-04 02:22:00,1
2019-05-04 03:26:00,1
2019-05-04 06:55:00,1
2019-05-04 06:56:00,1
2019-05-04 08:17:00,1
2019-05-04 08:41:00,1
2019-05-04 09:00:00,1
2019-05-04 10:22:00,1
2019-05-04 12:54:00,1
2019-05-04 12:55:00,1
2019-05-04 12:57:00,1
2019-05-04 12:58:00,1
2019-05-04 13:01:00,1
2019-05-04 13:17:00,1
2019-05-04 13:18:00,1
2019-05-04 13:41:00,1
2019-05-04 16:12:00,1
2019-05-04 17:24:00,1
2019-05-04 17:55:00,1
2019-05-04 18:39:00,1
2019-05-04 19:59:00,1
2019-05-04 21:57:00,1
2019-05-04 22:06:00,1
2019-05-04 22:42:00,1
