3134,"SELECT DISTINCT p.ra, p.dec, p.clean, p.u, p.g, p.r, p.i, p.z FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-05-04 12:39:00,79
2019-05-04 12:55:00,112
2019-05-04 12:57:00,237
2019-05-04 12:58:00,151
2019-05-04 13:00:00,60
2019-05-04 13:02:00,78
2019-05-04 13:03:00,26
2019-05-04 13:14:00,106
2019-05-04 13:18:00,114
2019-05-04 13:20:00,63
2019-05-04 13:24:00,82
2019-05-04 13:27:00,120
2019-05-04 13:28:00,124
2019-05-04 13:37:00,66
2019-05-04 13:38:00,63
2019-05-04 13:41:00,260
2019-05-04 13:42:00,80
2019-05-04 13:44:00,103
2019-05-04 13:45:00,152
2019-05-04 13:49:00,51
2019-05-04 13:50:00,25
2019-05-04 13:53:00,129
2019-05-04 13:54:00,87
2019-05-04 14:17:00,37
2019-05-04 14:18:00,49
2019-05-04 14:22:00,11
2019-05-04 14:23:00,218
2019-05-04 14:26:00,58
2019-05-04 14:27:00,101
2019-05-04 14:34:00,37
2019-05-04 14:42:00,129
2019-05-04 14:58:00,12
2019-05-04 14:59:00,114
