1351,"SELECT  &&& + cast(p.objId as varchar(#)) + &&& + cast(p.objId as varchar(#)) + &&& as objID,    p.run, p.rerun, p.camcol, p.field, p.obj,    p.type, p.ra, p.dec, p.u,p.g,p.r,p.i,p.z,    p.Err_u, p.Err_g, p.Err_r,p.Err_i,p.Err_z    FROM fGetNearbyObjEq(#,#,#) n, PhotoPrimary p    WHERE n.objID=p.objID"
2019-12-14 00:00:00,5
2019-12-14 00:02:00,1
2019-12-14 00:04:00,1
2019-12-14 00:05:00,1
2019-12-14 00:06:00,1
2019-12-14 00:09:00,1
2019-12-14 00:10:00,5
2019-12-14 00:12:00,1
2019-12-14 00:14:00,1
2019-12-14 00:15:00,1
2019-12-14 00:16:00,1
2019-12-14 00:19:00,1
2019-12-14 00:20:00,4
2019-12-14 00:22:00,1
2019-12-14 00:24:00,1
2019-12-14 00:25:00,1
2019-12-14 00:26:00,1
2019-12-14 00:29:00,1
2019-12-14 00:30:00,4
2019-12-14 00:32:00,1
2019-12-14 00:34:00,2
2019-12-14 00:35:00,1
2019-12-14 00:36:00,1
2019-12-14 00:39:00,1
2019-12-14 00:40:00,5
2019-12-14 00:42:00,1
2019-12-14 00:44:00,1
2019-12-14 00:45:00,1
2019-12-14 00:46:00,1
2019-12-14 00:49:00,1
2019-12-14 00:50:00,4
2019-12-14 00:52:00,1
2019-12-14 00:54:00,2
2019-12-14 00:55:00,1
2019-12-14 00:56:00,1
2019-12-14 00:59:00,1
2019-12-14 01:00:00,4
2019-12-14 01:02:00,1
2019-12-14 01:04:00,1
2019-12-14 01:05:00,1
2019-12-14 01:06:00,1
2019-12-14 01:09:00,1
2019-12-14 01:10:00,5
2019-12-14 01:12:00,1
2019-12-14 01:14:00,1
2019-12-14 01:15:00,1
2019-12-14 01:16:00,1
2019-12-14 01:19:00,1
2019-12-14 01:20:00,4
2019-12-14 01:22:00,1
2019-12-14 01:24:00,1
2019-12-14 01:25:00,1
2019-12-14 01:26:00,1
2019-12-14 01:29:00,1
2019-12-14 01:30:00,4
2019-12-14 01:32:00,1
2019-12-14 01:34:00,1
2019-12-14 01:35:00,1
2019-12-14 01:36:00,1
2019-12-14 01:39:00,1
2019-12-14 01:40:00,4
2019-12-14 01:42:00,1
2019-12-14 01:44:00,1
2019-12-14 01:45:00,1
2019-12-14 01:46:00,1
2019-12-14 01:49:00,1
2019-12-14 01:50:00,5
2019-12-14 01:52:00,1
2019-12-14 01:54:00,1
2019-12-14 01:55:00,1
2019-12-14 01:56:00,1
2019-12-14 01:59:00,1
2019-12-14 02:00:00,4
2019-12-14 02:02:00,1
2019-12-14 02:04:00,1
2019-12-14 02:05:00,1
2019-12-14 02:06:00,1
2019-12-14 02:09:00,1
2019-12-14 02:10:00,5
2019-12-14 02:12:00,1
2019-12-14 02:14:00,1
2019-12-14 02:15:00,1
2019-12-14 02:17:00,1
2019-12-14 02:19:00,1
2019-12-14 02:20:00,4
2019-12-14 02:22:00,1
2019-12-14 02:24:00,1
2019-12-14 02:25:00,1
2019-12-14 02:27:00,1
2019-12-14 02:29:00,1
2019-12-14 02:30:00,4
2019-12-14 02:32:00,1
2019-12-14 02:34:00,1
2019-12-14 02:35:00,1
2019-12-14 02:37:00,1
2019-12-14 02:39:00,1
2019-12-14 02:40:00,4
2019-12-14 02:42:00,1
2019-12-14 02:44:00,1
2019-12-14 02:45:00,1
2019-12-14 02:47:00,1
2019-12-14 02:49:00,1
2019-12-14 02:50:00,4
2019-12-14 02:52:00,1
2019-12-14 02:54:00,1
2019-12-14 02:55:00,1
2019-12-14 02:57:00,1
2019-12-14 02:59:00,1
2019-12-14 03:00:00,4
2019-12-14 03:02:00,1
2019-12-14 03:04:00,1
2019-12-14 03:05:00,1
2019-12-14 03:07:00,1
2019-12-14 03:09:00,1
2019-12-14 03:10:00,4
2019-12-14 03:12:00,1
2019-12-14 03:14:00,1
2019-12-14 03:15:00,1
2019-12-14 03:17:00,1
2019-12-14 03:19:00,1
2019-12-14 03:20:00,4
2019-12-14 03:22:00,1
2019-12-14 03:24:00,1
2019-12-14 03:25:00,1
2019-12-14 03:27:00,1
2019-12-14 03:29:00,1
2019-12-14 03:30:00,4
2019-12-14 03:32:00,1
2019-12-14 03:34:00,1
2019-12-14 03:35:00,1
2019-12-14 03:37:00,1
2019-12-14 03:39:00,1
2019-12-14 03:40:00,4
2019-12-14 03:42:00,1
2019-12-14 03:44:00,1
2019-12-14 03:45:00,1
2019-12-14 03:47:00,1
2019-12-14 03:49:00,1
2019-12-14 03:50:00,4
2019-12-14 03:53:00,1
2019-12-14 03:54:00,1
2019-12-14 03:55:00,1
2019-12-14 03:57:00,1
2019-12-14 03:59:00,1
2019-12-14 04:00:00,4
2019-12-14 04:03:00,1
2019-12-14 04:04:00,1
2019-12-14 04:05:00,1
2019-12-14 04:07:00,1
2019-12-14 04:09:00,1
2019-12-14 04:10:00,4
2019-12-14 04:13:00,1
2019-12-14 04:14:00,1
2019-12-14 04:15:00,1
2019-12-14 04:17:00,1
2019-12-14 04:19:00,1
2019-12-14 04:20:00,4
2019-12-14 04:23:00,1
2019-12-14 04:24:00,2
2019-12-14 04:25:00,1
2019-12-14 04:27:00,1
2019-12-14 04:29:00,1
2019-12-14 04:30:00,4
2019-12-14 04:33:00,1
2019-12-14 04:34:00,1
2019-12-14 04:35:00,1
2019-12-14 04:37:00,1
2019-12-14 04:39:00,1
2019-12-14 04:40:00,6
2019-12-14 04:43:00,1
2019-12-14 04:44:00,1
2019-12-14 04:45:00,1
2019-12-14 04:47:00,1
2019-12-14 04:49:00,1
2019-12-14 04:50:00,4
2019-12-14 04:53:00,1
2019-12-14 04:54:00,1
2019-12-14 04:55:00,1
2019-12-14 04:57:00,1
2019-12-14 04:59:00,1
2019-12-14 05:00:00,4
2019-12-14 05:03:00,1
2019-12-14 05:04:00,2
2019-12-14 05:05:00,1
2019-12-14 05:07:00,1
2019-12-14 05:09:00,1
2019-12-14 05:10:00,4
2019-12-14 05:13:00,1
2019-12-14 05:14:00,1
2019-12-14 05:15:00,1
2019-12-14 05:17:00,1
2019-12-14 05:19:00,1
2019-12-14 05:20:00,4
2019-12-14 05:23:00,1
2019-12-14 05:24:00,1
2019-12-14 05:25:00,1
2019-12-14 05:27:00,1
2019-12-14 05:29:00,1
2019-12-14 05:30:00,4
2019-12-14 05:33:00,1
2019-12-14 05:34:00,2
2019-12-14 05:35:00,1
2019-12-14 05:37:00,1
2019-12-14 05:39:00,1
2019-12-14 05:40:00,4
2019-12-14 05:43:00,1
2019-12-14 05:44:00,2
2019-12-14 05:45:00,1
2019-12-14 05:47:00,1
2019-12-14 05:49:00,1
2019-12-14 05:50:00,4
2019-12-14 05:53:00,1
2019-12-14 05:54:00,1
2019-12-14 05:55:00,1
2019-12-14 05:57:00,1
2019-12-14 05:59:00,1
2019-12-14 06:00:00,4
2019-12-14 06:03:00,1
2019-12-14 06:04:00,1
2019-12-14 06:05:00,1
2019-12-14 06:07:00,1
2019-12-14 06:09:00,1
2019-12-14 06:10:00,4
2019-12-14 06:13:00,1
2019-12-14 06:14:00,1
2019-12-14 06:15:00,1
2019-12-14 06:17:00,1
2019-12-14 06:19:00,1
2019-12-14 06:20:00,4
2019-12-14 06:23:00,1
2019-12-14 06:24:00,2
2019-12-14 06:25:00,1
2019-12-14 06:27:00,1
2019-12-14 06:29:00,1
2019-12-14 06:30:00,4
2019-12-14 06:33:00,1
2019-12-14 06:34:00,1
2019-12-14 06:35:00,1
