364,"SELECT  p.objid,p.ra,p.dec,p.u,p.g,p.r,p.i,p.z,s.z as redshift, s.zErr, s.zWarning, s.class, s.snMedian FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE  p.ra<(#) AND p.ra>(#)  AND p.dec<(#) AND p.dec>(#)  AND s.z<(#) AND s.z>(#)  AND p.type=#"
2019-12-14 15:36:00,11
2019-12-14 15:37:00,18
2019-12-14 15:38:00,23
2019-12-14 15:50:00,10
2019-12-14 15:51:00,42
2019-12-14 19:23:00,52
2019-12-14 19:31:00,47
2019-12-14 19:32:00,5
2019-12-14 19:34:00,38
2019-12-14 19:35:00,14
2019-12-14 19:39:00,2
2019-12-14 19:41:00,21
2019-12-14 19:42:00,4
2019-12-14 19:43:00,24
2019-12-14 19:44:00,1
2019-12-14 22:36:00,25
2019-12-14 22:37:00,18
2019-12-14 22:38:00,9
