500,"SELECT sp.objid,sp.ra,sp.dec, sp.class, sp.z as redshift, ISNULL(m.k,#) as k , sp.dered_r, sp.camcol, sp.field, sp.run, sp.rerun FROM SpecPhoto AS sp JOIN apogeeOBJECT AS m ON sp.dec = m.dec WHERE sp.z ># AND sp.z < # AND sp.class = GALAXY&&&"
2019-12-14 21:24:00,1
2019-12-14 21:25:00,7
2019-12-14 21:26:00,30
2019-12-14 21:27:00,30
2019-12-14 21:28:00,31
2019-12-14 21:29:00,31
2019-12-14 21:30:00,32
2019-12-14 21:31:00,30
2019-12-14 21:32:00,31
2019-12-14 21:33:00,30
2019-12-14 21:34:00,31
2019-12-14 21:35:00,30
2019-12-14 21:36:00,30
2019-12-14 21:37:00,31
2019-12-14 21:38:00,30
2019-12-14 21:39:00,29
2019-12-14 21:40:00,29
2019-12-14 21:41:00,30
2019-12-14 21:42:00,7
