26,select distinct parent from DBViewCols where viewname=&&&
2019-12-14 01:33:00,3
2019-12-14 01:37:00,1
2019-12-14 01:53:00,1
2019-12-14 01:54:00,1
2019-12-14 01:56:00,1
2019-12-14 01:57:00,1
2019-12-14 02:12:00,2
2019-12-14 02:39:00,2
2019-12-14 04:16:00,1
2019-12-14 06:26:00,2
2019-12-14 06:27:00,1
2019-12-14 08:11:00,1
2019-12-14 08:55:00,2
2019-12-14 14:32:00,1
2019-12-14 15:43:00,1
2019-12-14 15:59:00,1
2019-12-14 16:43:00,1
2019-12-14 17:50:00,1
2019-12-14 18:10:00,1
2019-12-14 18:11:00,1
