30,"SELECT p.objid, p.ra, p.dec, f.fieldid, p.field, p.InsideMask, p.u, p.err_u, p.g, p.err_g, p.r, p.err_r, p.i, p.err_i, p.z, p.err_z, p.type, f.quality, p.specObjID FROM PhotoPrimary AS p JOIN Field AS f ON f.fieldid = p.fieldid WHERE (clean = #) AND ((f.quality = #) OR (f.quality = #)) AND (p.type = dbo.fPhotoType(&&&) OR p.type = dbo.fPhotoType(&&&)) AND (p.ra BETWEEN # AND #) AND p.dec BETWEEN # AND # AND ((p.InsideMask = #) OR (p.InsideMask = #) OR (p.InsideMask = #)) AND (#/p.err_u > #) AND (#/p.err_g > #) AND (#/p.err_r > #) AND (#/p.err_i > #) AND (#/p.err_z > #)"
2019-08-26 08:28:00,1
2019-08-26 08:29:00,3
2019-08-26 08:30:00,2
2019-08-26 08:41:00,1
2019-08-26 08:42:00,2
2019-08-26 08:43:00,2
2019-08-26 08:44:00,1
2019-08-26 08:55:00,2
2019-08-26 08:56:00,3
2019-08-26 08:57:00,1
2019-08-26 09:12:00,3
2019-08-26 09:13:00,2
2019-08-26 09:14:00,1
2019-08-26 09:17:00,2
2019-08-26 09:18:00,3
2019-08-26 09:19:00,1
