1635,"SELECT st.ra, st.dec, st.r from star as st JOIN dbo.fGetNearbyObjEq(#,#,#) as PN ON st.objID = PN.objID WHERE st.r < #"
2019-08-26 00:05:00,2
2019-08-26 00:06:00,4
2019-08-26 00:13:00,4
2019-08-26 00:14:00,8
2019-08-26 00:15:00,7
2019-08-26 00:16:00,10
2019-08-26 00:17:00,9
2019-08-26 00:18:00,13
2019-08-26 01:42:00,8
2019-08-26 01:43:00,19
2019-08-26 01:46:00,6
2019-08-26 01:47:00,13
2019-08-26 02:59:00,26
2019-08-26 03:00:00,25
2019-08-26 03:01:00,7
2019-08-26 03:02:00,13
2019-08-26 03:03:00,31
2019-08-26 03:24:00,6
2019-08-26 03:25:00,7
2019-08-26 03:26:00,28
2019-08-26 03:27:00,7
2019-08-26 03:28:00,9
2019-08-26 03:31:00,6
2019-08-26 03:32:00,9
2019-08-26 03:33:00,9
2019-08-26 03:34:00,29
2019-08-26 03:35:00,20
2019-08-26 03:44:00,2
2019-08-26 03:45:00,10
2019-08-26 03:46:00,2
2019-08-26 03:47:00,5
2019-08-26 03:48:00,6
2019-08-26 03:49:00,37
2019-08-26 03:50:00,6
2019-08-26 03:51:00,69
2019-08-26 03:52:00,1
2019-08-26 04:00:00,3
2019-08-26 04:01:00,7
2019-08-26 04:02:00,7
2019-08-26 04:03:00,18
2019-08-26 04:04:00,10
2019-08-26 04:05:00,5
2019-08-26 04:08:00,7
2019-08-26 04:09:00,5
2019-08-26 04:10:00,6
2019-08-26 04:12:00,9
2019-08-26 04:13:00,7
2019-08-26 04:14:00,5
2019-08-26 04:15:00,10
2019-08-26 04:16:00,5
2019-08-26 04:17:00,10
2019-08-26 04:18:00,5
2019-08-26 04:19:00,8
2019-08-26 04:20:00,5
2019-08-26 04:21:00,7
2019-08-26 04:22:00,6
2019-08-26 04:23:00,5
2019-08-26 04:24:00,4
2019-08-26 04:25:00,7
2019-08-26 04:26:00,4
2019-08-26 04:27:00,6
2019-08-26 04:28:00,5
2019-08-26 04:29:00,6
2019-08-26 04:30:00,5
2019-08-26 04:31:00,4
2019-08-26 04:32:00,5
2019-08-26 04:33:00,6
2019-08-26 04:34:00,4
2019-08-26 04:35:00,5
2019-08-26 04:36:00,6
2019-08-26 04:37:00,4
2019-08-26 04:38:00,14
2019-08-26 04:39:00,5
2019-08-26 04:40:00,4
2019-08-26 04:41:00,5
2019-08-26 04:42:00,8
2019-08-26 04:43:00,6
2019-08-26 04:44:00,6
2019-08-26 04:45:00,4
2019-08-26 04:46:00,3
2019-08-26 04:48:00,1
2019-08-26 04:49:00,5
2019-08-26 04:50:00,5
2019-08-26 04:54:00,4
2019-08-26 04:55:00,4
2019-08-26 04:56:00,3
2019-08-26 04:57:00,4
2019-08-26 04:58:00,4
2019-08-26 04:59:00,9
2019-08-26 05:00:00,4
2019-08-26 05:01:00,5
2019-08-26 05:02:00,26
2019-08-26 05:03:00,22
2019-08-26 06:13:00,1
2019-08-26 06:16:00,4
2019-08-26 06:23:00,7
2019-08-26 06:24:00,21
2019-08-26 06:25:00,13
2019-08-26 06:26:00,17
2019-08-26 06:27:00,2
2019-08-26 06:37:00,8
2019-08-26 06:38:00,11
2019-08-26 06:39:00,16
2019-08-26 06:40:00,21
2019-08-26 06:41:00,19
2019-08-26 06:42:00,15
2019-08-26 06:43:00,6
2019-08-26 06:54:00,9
2019-08-26 07:00:00,7
2019-08-26 07:01:00,8
2019-08-26 07:07:00,1
2019-08-26 07:08:00,17
2019-08-26 07:09:00,14
2019-08-26 07:10:00,4
2019-08-26 07:11:00,3
2019-08-26 07:12:00,14
2019-08-26 07:17:00,4
2019-08-26 07:25:00,10
2019-08-26 07:31:00,6
2019-08-26 07:37:00,6
2019-08-26 07:38:00,6
2019-08-26 07:39:00,12
2019-08-26 07:40:00,6
2019-08-26 07:41:00,11
2019-08-26 07:42:00,13
2019-08-26 07:43:00,3
2019-08-26 07:44:00,12
2019-08-26 07:45:00,12
2019-08-26 07:46:00,10
2019-08-26 07:47:00,11
2019-08-26 07:48:00,10
2019-08-26 07:49:00,7
2019-08-26 07:50:00,5
2019-08-26 07:51:00,10
2019-08-26 07:52:00,3
2019-08-26 15:25:00,1
2019-08-26 15:38:00,3
2019-08-26 15:39:00,1
2019-08-26 17:10:00,2
2019-08-26 17:11:00,7
2019-08-26 17:12:00,14
2019-08-26 17:13:00,12
2019-08-26 17:14:00,16
2019-08-26 17:15:00,8
2019-08-26 17:16:00,14
2019-08-26 17:17:00,9
2019-08-26 17:19:00,3
2019-08-26 17:20:00,10
2019-08-26 17:21:00,5
2019-08-26 17:44:00,2
2019-08-26 17:45:00,6
2019-08-26 17:46:00,10
2019-08-26 17:47:00,12
2019-08-26 17:48:00,9
2019-08-26 18:02:00,10
2019-08-26 18:03:00,8
2019-08-26 18:04:00,22
2019-08-26 18:05:00,9
2019-08-26 18:57:00,4
2019-08-26 18:58:00,8
2019-08-26 18:59:00,7
2019-08-26 19:00:00,8
2019-08-26 19:01:00,7
2019-08-26 19:02:00,5
2019-08-26 19:03:00,14
2019-08-26 19:04:00,12
2019-08-26 19:05:00,9
2019-08-26 19:06:00,14
