16,"SELECT TOP # &&& + cast(p.objId as varchar(#)) +&&& + cast(p.objId as varchar(#)) + &&& as objID,  p.run, p.rerun, p.camcol, p.field, p.obj,  p.type, p.ra, p.dec, p.u,p.g,p.r,p.i,p.z,  p.Err_u, p.Err_g, p.Err_r,p.Err_i,p.Err_z  FROM fGetNearbyObjEq(#,#,#) n, PhotoPrimary p  WHERE n.objID=p.objID AND p.z between # AND #"
2019-08-26 14:37:00,1
2019-08-26 15:17:00,2
2019-08-26 15:22:00,1
2019-08-26 15:26:00,1
2019-08-26 15:27:00,1
2019-08-26 15:28:00,1
2019-08-26 15:30:00,1
2019-08-26 15:34:00,1
2019-08-26 15:35:00,2
2019-08-26 15:40:00,1
2019-08-26 15:42:00,1
2019-08-26 15:43:00,1
2019-08-26 15:44:00,1
2019-08-26 19:00:00,1
