355,"select p.ra, p.dec, s.z, p.modelmag_u, p.modelmag_g, p.modelmag_r, p.modelmag_i, p.modelmag_z, p.petromag_u, p.petromag_g, p.petromag_r, p.petromag_i, p.petromag_z, p.petroRad_r, petroR9#_r, petroR5#_r FROM fGetNearbyObjEq(#,#,#) n, PhotoObjAll p, SpecObjAll s WHERE n.objID=p.objID and p.objID=s.bestobjID"
2019-08-26 09:08:00,7
2019-08-26 09:09:00,11
2019-08-26 09:10:00,11
2019-08-26 09:11:00,12
2019-08-26 09:12:00,11
2019-08-26 09:13:00,11
2019-08-26 09:14:00,11
2019-08-26 09:15:00,12
2019-08-26 09:16:00,10
2019-08-26 09:17:00,10
2019-08-26 09:18:00,4
2019-08-26 09:19:00,12
2019-08-26 09:20:00,3
2019-08-26 09:38:00,6
2019-08-26 09:39:00,6
2019-08-26 09:40:00,6
2019-08-26 09:41:00,7
2019-08-26 09:42:00,5
2019-08-26 09:43:00,3
2019-08-26 09:44:00,5
2019-08-26 09:45:00,6
2019-08-26 09:46:00,11
2019-08-26 09:47:00,11
2019-08-26 09:48:00,11
2019-08-26 09:49:00,1
2019-08-26 11:02:00,5
2019-08-26 11:03:00,10
2019-08-26 11:04:00,10
2019-08-26 11:05:00,10
2019-08-26 11:06:00,10
2019-08-26 11:07:00,10
2019-08-26 11:08:00,19
2019-08-26 11:09:00,17
2019-08-26 11:10:00,21
2019-08-26 11:11:00,8
2019-08-26 11:12:00,12
2019-08-26 11:13:00,3
2019-08-26 11:14:00,3
2019-08-26 11:15:00,14
