18,"SELECT up_id, dbo.fGetNearestObjIdEq(up_ra,up_dec,#) as objId   FROM #upload WHERE dbo.fGetNearestObjIdEq(up_ra,up_dec,#) IS NOT NULL  EXEC spExecuteSQL &&&'<a target=INFO href=http://skyserver.sdss.org/DR1#/en/tools/explore/obj.aspx?id=&&& + cast(x.objId as varchar(#)) + &&&>&&&+ cast(x.objId as varchar(#)) + &&&</a>&&& as objID, p.ra, p.dec, p.run, p.rerun, p.camcol, p.field,  dbo.fPhotoTypeN(p.type) as type,  p.modelMag_u, p.modelMag_g, p.modelMag_r, p.modelMag_i, p.modelMag_z  FROM #upload u  JOIN #x x ON x.up_id = u.up_id  JOIN PhotoTag p ON p.objID = x.objID  ORDER BY x.up_id  &&&#', @log=#, @filter=#"
2019-02-06 06:12:00,1
2019-02-06 06:41:00,1
2019-02-06 14:30:00,1
2019-02-06 14:35:00,1
2019-02-06 22:08:00,1
2019-02-06 22:09:00,3
2019-02-06 22:10:00,3
2019-02-06 22:11:00,1
2019-02-06 22:12:00,2
2019-02-06 22:13:00,1
2019-02-06 22:14:00,2
2019-02-06 22:43:00,1
