106,select * from Photoz2 where objid=#
2019-02-06 04:31:00,1
2019-02-06 07:30:00,10
2019-02-06 11:09:00,1
2019-02-06 11:10:00,5
2019-02-06 11:11:00,2
2019-02-06 11:12:00,2
2019-02-06 11:13:00,5
2019-02-06 11:14:00,3
2019-02-06 11:15:00,6
2019-02-06 11:16:00,3
2019-02-06 11:17:00,5
2019-02-06 11:18:00,4
2019-02-06 11:19:00,3
2019-02-06 11:20:00,3
2019-02-06 11:21:00,4
2019-02-06 11:22:00,4
2019-02-06 11:23:00,3
2019-02-06 11:24:00,4
2019-02-06 11:25:00,4
2019-02-06 11:26:00,2
2019-02-06 11:27:00,3
2019-02-06 11:28:00,4
2019-02-06 11:29:00,4
2019-02-06 11:30:00,6
2019-02-06 11:31:00,2
2019-02-06 11:32:00,4
2019-02-06 11:33:00,3
2019-02-06 11:34:00,1
2019-02-06 13:05:00,4
2019-02-06 17:52:00,1
