101,"select P.objID, P.ra, P.dec , P.u, P.g, P.r, P.i, P.z, P.type from PhotoPrimary as P , dbo.fGetNearbyObjEq(#, #, # ) N where P.objID = N.objID"
2019-02-06 21:25:00,3
2019-02-06 21:26:00,3
2019-02-06 21:27:00,5
2019-02-06 21:28:00,3
2019-02-06 21:29:00,4
2019-02-06 21:30:00,4
2019-02-06 21:31:00,4
2019-02-06 21:32:00,4
2019-02-06 21:33:00,2
2019-02-06 21:48:00,3
2019-02-06 21:50:00,1
2019-02-06 22:09:00,5
2019-02-06 22:10:00,3
2019-02-06 22:11:00,4
2019-02-06 22:12:00,3
2019-02-06 22:13:00,4
2019-02-06 22:14:00,4
2019-02-06 22:15:00,4
2019-02-06 22:16:00,4
2019-02-06 22:17:00,2
2019-02-06 22:18:00,4
2019-02-06 22:19:00,1
2019-02-06 22:26:00,3
2019-02-06 22:27:00,4
2019-02-06 22:28:00,4
2019-02-06 22:29:00,4
2019-02-06 22:30:00,4
2019-02-06 22:31:00,3
2019-02-06 22:32:00,4
2019-02-06 22:33:00,1
