6712,"SELECT DISTINCT p.ra, p.dec, p.objid, p.run, p.rerun, p.camcol, p.field, s.z, s.plate, s.mjd, s.fiberID, s.specobjid, s.run2d, s.instrument FROM PhotoObjAll AS p JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-02-06 12:38:00,1
2019-02-06 13:14:00,2
2019-02-06 13:21:00,1
2019-02-06 13:48:00,1
2019-02-06 14:15:00,1
2019-02-06 14:17:00,1
2019-02-06 14:37:00,1
2019-02-06 14:39:00,1
2019-02-06 14:40:00,1
2019-02-06 14:51:00,1
2019-02-06 14:53:00,1
2019-02-06 14:54:00,1
2019-02-06 14:56:00,2
2019-02-06 14:58:00,1
2019-02-06 15:02:00,1
2019-02-06 15:03:00,1
2019-02-06 15:18:00,1
2019-02-06 15:20:00,1
2019-02-06 15:24:00,1
2019-02-06 15:29:00,1
2019-02-06 15:44:00,2
2019-02-06 15:47:00,1
2019-02-06 15:49:00,1
2019-02-06 15:56:00,1
2019-02-06 18:26:00,2
2019-02-06 18:27:00,27
2019-02-06 18:31:00,37
2019-02-06 18:45:00,61
2019-02-06 18:46:00,164
2019-02-06 18:47:00,306
2019-02-06 18:48:00,306
2019-02-06 18:49:00,300
2019-02-06 18:50:00,251
2019-02-06 18:51:00,298
2019-02-06 18:52:00,286
2019-02-06 18:53:00,324
2019-02-06 18:54:00,352
2019-02-06 18:55:00,326
2019-02-06 18:56:00,294
2019-02-06 18:57:00,327
2019-02-06 18:58:00,339
2019-02-06 18:59:00,328
2019-02-06 19:00:00,270
2019-02-06 19:01:00,196
2019-02-06 19:02:00,178
2019-02-06 19:03:00,258
2019-02-06 19:04:00,341
2019-02-06 19:05:00,364
2019-02-06 19:06:00,351
2019-02-06 19:07:00,303
2019-02-06 19:08:00,96
