459,"SELECT TOP # rerun, camcol, field FROM PhotoObj WHERE ra BETWEEN # and # AND dec BETWEEN # and #"
2019-11-17 06:15:00,1
2019-11-17 06:25:00,4
2019-11-17 07:35:00,10
2019-11-17 07:40:00,15
2019-11-17 09:30:00,1
2019-11-17 09:45:00,5
2019-11-17 09:46:00,22
2019-11-17 12:35:00,1
2019-11-17 15:20:00,1
2019-11-17 15:22:00,12
2019-11-17 18:10:00,1
2019-11-17 18:11:00,11
2019-11-17 18:20:00,34
2019-11-17 18:21:00,37
2019-11-17 18:22:00,36
2019-11-17 18:23:00,40
2019-11-17 18:24:00,40
2019-11-17 18:25:00,36
2019-11-17 18:26:00,42
2019-11-17 18:27:00,35
2019-11-17 18:28:00,37
2019-11-17 18:29:00,37
2019-11-17 21:30:00,1
