265,"select mjd, ra, dec, u, g, r, i, z from PhotoObj where dec < # AND dec > # AND (ra > # AND ra < # )"
2019-11-17 12:44:00,1
2019-11-17 12:46:00,78
2019-11-17 12:47:00,84
2019-11-17 12:52:00,3
2019-11-17 12:53:00,6
2019-11-17 12:54:00,1
2019-11-17 12:56:00,1
2019-11-17 14:27:00,2
2019-11-17 14:32:00,1
2019-11-17 14:33:00,28
2019-11-17 14:34:00,51
2019-11-17 14:35:00,1
2019-11-17 14:36:00,2
2019-11-17 14:37:00,1
2019-11-17 14:38:00,2
2019-11-17 14:39:00,2
2019-11-17 14:40:00,1
