2475,"SELECT sp.objid,sp.ra,sp.dec, sp.class, sp.z as redshift, ISNULL(m.k,#) as k , sp.dered_r FROM SpecPhoto AS sp JOIN apogeeOBJECT AS m ON sp.dec = m.dec WHERE sp.z ># AND sp.z < # AND sp.class = GALAXY&&&"
2019-11-17 03:14:00,1
2019-11-17 03:15:00,15
2019-11-17 03:16:00,55
2019-11-17 03:17:00,44
2019-11-17 03:18:00,43
2019-11-17 03:19:00,53
2019-11-17 03:20:00,59
2019-11-17 03:21:00,106
2019-11-17 03:22:00,123
2019-11-17 03:23:00,7
2019-11-17 04:04:00,9
2019-11-17 04:05:00,30
2019-11-17 04:06:00,35
2019-11-17 04:07:00,35
2019-11-17 04:08:00,36
2019-11-17 04:09:00,34
2019-11-17 04:10:00,34
2019-11-17 04:11:00,27
2019-11-17 04:12:00,26
2019-11-17 04:13:00,27
2019-11-17 04:14:00,25
2019-11-17 04:15:00,34
2019-11-17 04:16:00,32
2019-11-17 04:17:00,32
2019-11-17 04:18:00,33
2019-11-17 04:19:00,31
2019-11-17 04:20:00,30
2019-11-17 04:21:00,30
2019-11-17 04:22:00,30
2019-11-17 04:23:00,32
2019-11-17 04:24:00,31
2019-11-17 04:25:00,24
2019-11-17 22:03:00,27
2019-11-17 22:04:00,31
2019-11-17 22:05:00,35
2019-11-17 22:06:00,35
2019-11-17 22:07:00,34
2019-11-17 22:08:00,34
2019-11-17 22:09:00,35
2019-11-17 22:10:00,33
2019-11-17 22:11:00,35
2019-11-17 22:12:00,34
2019-11-17 22:13:00,35
2019-11-17 22:14:00,34
2019-11-17 22:15:00,34
2019-11-17 22:16:00,33
2019-11-17 22:17:00,33
2019-11-17 22:18:00,31
2019-11-17 22:19:00,33
2019-11-17 22:20:00,32
2019-11-17 22:21:00,33
2019-11-17 22:22:00,26
2019-11-17 22:29:00,17
2019-11-17 22:30:00,23
2019-11-17 22:31:00,27
2019-11-17 22:32:00,26
2019-11-17 22:33:00,29
2019-11-17 22:34:00,33
2019-11-17 22:35:00,32
2019-11-17 22:36:00,31
2019-11-17 22:37:00,32
2019-11-17 22:38:00,33
2019-11-17 22:39:00,34
2019-11-17 22:40:00,34
2019-11-17 22:41:00,33
2019-11-17 22:42:00,34
2019-11-17 22:43:00,32
2019-11-17 22:44:00,33
2019-11-17 22:45:00,31
2019-11-17 22:46:00,26
2019-11-17 22:47:00,26
2019-11-17 22:48:00,26
2019-11-17 22:49:00,28
2019-11-17 22:50:00,30
2019-11-17 22:51:00,5
