27,"select p.ObjID, p.ra, p.dec, p.u, p.Err_u, p.g, p.Err_g, p.r, p.Err_r, p.i,p.Err_i, p.z, p.Err_z from photoObj p, dbo.fGetNearbyObjEq(#,#,#) n where p.objID = n.objID AND p.type = #"
2019-11-17 00:23:00,1
2019-11-17 00:25:00,1
2019-11-17 00:28:00,1
2019-11-17 00:30:00,1
2019-11-17 00:32:00,1
2019-11-17 00:34:00,1
2019-11-17 00:35:00,1
2019-11-17 00:38:00,1
2019-11-17 00:39:00,1
2019-11-17 00:42:00,1
2019-11-17 00:43:00,1
2019-11-17 00:47:00,1
2019-11-17 00:49:00,1
2019-11-17 00:50:00,1
2019-11-17 00:54:00,2
2019-11-17 00:56:00,1
2019-11-17 00:59:00,1
2019-11-17 01:01:00,1
2019-11-17 01:04:00,1
2019-11-17 01:05:00,1
2019-11-17 01:08:00,1
2019-11-17 01:09:00,1
2019-11-17 01:11:00,1
2019-11-17 02:02:00,1
2019-11-17 02:03:00,1
2019-11-17 02:07:00,1
