4598,"SELECT DISTINCT p.run, p.rerun, p.camcol, p.field FROM PhotoObjAll AS p WHERE (p.run=# AND p.camcol=# AND p.field=# AND p.rerun=#)"
2019-12-20 17:06:00,420
2019-12-20 17:07:00,10
2019-12-20 17:11:00,1
2019-12-20 17:15:00,1
2019-12-20 17:17:00,105
2019-12-20 17:18:00,31
2019-12-20 17:19:00,14
2019-12-20 17:20:00,20
2019-12-20 17:21:00,23
2019-12-20 17:22:00,11
2019-12-20 17:23:00,21
2019-12-20 17:24:00,14
2019-12-20 17:25:00,26
2019-12-20 17:26:00,13
2019-12-20 17:27:00,18
2019-12-20 17:28:00,19
2019-12-20 17:29:00,13
2019-12-20 17:30:00,24
2019-12-20 17:31:00,11
2019-12-20 17:32:00,23
2019-12-20 17:33:00,11
2019-12-20 17:34:00,23
2019-12-20 17:35:00,20
2019-12-20 17:36:00,14
2019-12-20 17:37:00,23
2019-12-20 17:38:00,20
2019-12-20 17:39:00,18
2019-12-20 17:40:00,22
2019-12-20 17:41:00,13
2019-12-20 17:42:00,25
2019-12-20 17:43:00,22
2019-12-20 17:44:00,13
2019-12-20 17:45:00,24
2019-12-20 17:46:00,19
2019-12-20 17:47:00,17
2019-12-20 17:48:00,21
2019-12-20 17:49:00,17
2019-12-20 17:50:00,22
2019-12-20 17:51:00,18
2019-12-20 17:52:00,18
2019-12-20 17:53:00,5
2019-12-20 17:56:00,409
2019-12-20 21:16:00,389
2019-12-20 21:17:00,2
2019-12-20 21:20:00,4
2019-12-20 21:21:00,6
2019-12-20 21:25:00,4
2019-12-20 21:28:00,5
2019-12-20 21:29:00,4
2019-12-20 21:31:00,72
2019-12-20 21:32:00,21
2019-12-20 21:34:00,117
2019-12-20 21:37:00,4
2019-12-20 21:40:00,2
2019-12-20 21:41:00,3
2019-12-20 21:43:00,10
2019-12-20 21:44:00,3
2019-12-20 21:45:00,22
2019-12-20 21:46:00,85
2019-12-20 21:47:00,23
2019-12-20 21:48:00,62
2019-12-20 21:49:00,1
2019-12-20 21:50:00,8
2019-12-20 21:53:00,3
2019-12-20 21:55:00,17
2019-12-20 21:57:00,1
2019-12-20 21:58:00,100
2019-12-20 22:00:00,119
2019-12-20 22:02:00,16
2019-12-20 22:04:00,1
2019-12-20 22:06:00,9
2019-12-20 22:08:00,57
2019-12-20 22:09:00,21
2019-12-20 22:10:00,30
2019-12-20 22:11:00,14
2019-12-20 22:13:00,3
2019-12-20 22:15:00,9
2019-12-20 22:17:00,74
2019-12-20 22:19:00,63
2019-12-20 22:21:00,11
2019-12-20 22:23:00,4
2019-12-20 22:24:00,7
2019-12-20 22:25:00,4
2019-12-20 22:26:00,63
2019-12-20 22:27:00,9
2019-12-20 22:28:00,30
2019-12-20 22:30:00,7
2019-12-20 22:32:00,7
2019-12-20 22:34:00,20
2019-12-20 22:35:00,7
2019-12-20 22:36:00,54
2019-12-20 22:37:00,25
2019-12-20 22:39:00,10
2019-12-20 22:41:00,9
2019-12-20 22:43:00,28
2019-12-20 22:45:00,97
2019-12-20 22:46:00,1
2019-12-20 22:47:00,23
2019-12-20 22:48:00,12
2019-12-20 22:50:00,13
2019-12-20 22:52:00,37
2019-12-20 22:53:00,1
2019-12-20 22:54:00,72
2019-12-20 22:56:00,19
2019-12-20 22:58:00,9
2019-12-20 23:00:00,12
2019-12-20 23:02:00,33
2019-12-20 23:04:00,99
2019-12-20 23:05:00,22
2019-12-20 23:07:00,9
2019-12-20 23:09:00,14
2019-12-20 23:10:00,1
2019-12-20 23:11:00,35
2019-12-20 23:13:00,55
2019-12-20 23:15:00,19
2019-12-20 23:17:00,15
2019-12-20 23:18:00,2
2019-12-20 23:19:00,13
2019-12-20 23:20:00,54
2019-12-20 23:22:00,49
2019-12-20 23:24:00,16
2019-12-20 23:25:00,1
2019-12-20 23:26:00,8
2019-12-20 23:28:00,17
2019-12-20 23:30:00,42
2019-12-20 23:31:00,96
2019-12-20 23:33:00,21
2019-12-20 23:35:00,8
2019-12-20 23:37:00,31
2019-12-20 23:39:00,33
2019-12-20 23:41:00,45
2019-12-20 23:42:00,1
2019-12-20 23:43:00,27
2019-12-20 23:44:00,9
2019-12-20 23:46:00,32
2019-12-20 23:48:00,19
2019-12-20 23:50:00,46
2019-12-20 23:52:00,20
2019-12-20 23:54:00,11
2019-12-20 23:56:00,46
2019-12-20 23:57:00,1
2019-12-20 23:58:00,22
2019-12-20 23:59:00,39
