68,"select top # p.objid,p.ra,p.dec,dbo.fPhotoTypeN(p.type) as type,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z,psfMag_u,psfMagErr_u,psfMag_g,psfMagErr_g,psfMag_r,psfMagErr_r,psfMag_i,psfMagErr_i,psfMag_z,psfMagErr_z  from PhotoPrimary p, dbo.fGetNearbyObjEq(#,#,#) n  where p.objId=n.objId"
2019-12-20 00:45:00,1
2019-12-20 01:45:00,1
2019-12-20 02:45:00,1
2019-12-20 03:44:00,1
2019-12-20 04:46:00,1
2019-12-20 05:06:00,1
2019-12-20 05:10:00,1
2019-12-20 05:17:00,1
2019-12-20 05:45:00,1
2019-12-20 05:52:00,1
2019-12-20 06:32:00,1
2019-12-20 06:45:00,1
2019-12-20 06:57:00,1
2019-12-20 07:16:00,1
2019-12-20 07:39:00,1
2019-12-20 07:45:00,1
2019-12-20 08:45:00,1
2019-12-20 09:45:00,1
2019-12-20 09:47:00,1
2019-12-20 09:50:00,1
2019-12-20 10:45:00,1
2019-12-20 10:55:00,1
2019-12-20 11:04:00,1
2019-12-20 11:05:00,1
2019-12-20 11:07:00,1
2019-12-20 11:11:00,1
2019-12-20 11:13:00,1
2019-12-20 11:15:00,1
2019-12-20 11:18:00,1
2019-12-20 11:20:00,1
2019-12-20 11:23:00,1
2019-12-20 11:26:00,1
2019-12-20 11:45:00,1
2019-12-20 12:45:00,1
2019-12-20 13:45:00,1
2019-12-20 14:45:00,1
2019-12-20 14:46:00,1
2019-12-20 15:46:00,10
2019-12-20 16:15:00,9
2019-12-20 16:39:00,9
2019-12-20 16:45:00,1
2019-12-20 17:45:00,1
2019-12-20 18:45:00,1
