689,"select p.objid,p.ra,p.dec,p.u,p.g,p.r,p.i,p.z FROM PhotoPrimary AS p WHERE type=# AND ((flags_r & #) != #)AND ((flags_r & #) = #)AND (((flags_r & #) = #) or (psfmagerr_g <= #))AND (((flags_r & #) = #) or (flags_r & #) = #)AND p.ra BETWEEN (#-#) AND (#+#) AND p.dec BETWEEN (#-#) AND (#+#) ORDER BY p.objid"
2019-12-20 23:15:00,26
2019-12-20 23:16:00,12
2019-12-20 23:17:00,17
2019-12-20 23:18:00,8
2019-12-20 23:19:00,10
2019-12-20 23:20:00,17
2019-12-20 23:21:00,11
2019-12-20 23:22:00,7
2019-12-20 23:23:00,10
2019-12-20 23:24:00,5
2019-12-20 23:29:00,107
2019-12-20 23:30:00,55
2019-12-20 23:31:00,87
2019-12-20 23:32:00,64
2019-12-20 23:33:00,89
2019-12-20 23:34:00,45
2019-12-20 23:35:00,64
2019-12-20 23:36:00,26
2019-12-20 23:37:00,28
2019-12-20 23:38:00,1
