81,select * from zooMonochromeBias where objid=#
2019-12-20 10:19:00,3
2019-12-20 10:20:00,2
2019-12-20 10:21:00,1
2019-12-20 10:22:00,3
2019-12-20 10:23:00,2
2019-12-20 10:24:00,2
2019-12-20 10:25:00,3
2019-12-20 10:26:00,2
2019-12-20 10:27:00,3
2019-12-20 10:28:00,2
2019-12-20 10:29:00,3
2019-12-20 10:30:00,2
2019-12-20 10:31:00,2
2019-12-20 10:32:00,3
2019-12-20 10:33:00,2
2019-12-20 10:34:00,2
2019-12-20 10:35:00,4
2019-12-20 10:36:00,2
2019-12-20 10:37:00,2
2019-12-20 10:38:00,2
2019-12-20 10:39:00,3
2019-12-20 10:40:00,2
2019-12-20 10:41:00,3
2019-12-20 10:42:00,3
2019-12-20 10:43:00,2
2019-12-20 10:44:00,3
2019-12-20 10:45:00,2
2019-12-20 10:46:00,1
2019-12-20 10:47:00,3
2019-12-20 10:48:00,2
2019-12-20 10:49:00,1
2019-12-20 10:50:00,3
2019-12-20 10:51:00,3
2019-12-20 10:52:00,2
2019-12-20 10:53:00,1
