1653,"SELECT  objid,ra,dec,u,g,r,i,z FROM PhotoObj WHERE  ra<(#) AND ra>(#)  AND dec<(#) AND dec>(#)  AND type=#"
2019-12-20 07:54:00,17
2019-12-20 07:55:00,41
2019-12-20 07:56:00,47
2019-12-20 07:57:00,46
2019-12-20 07:58:00,49
2019-12-20 07:59:00,47
2019-12-20 08:00:00,52
2019-12-20 08:01:00,51
2019-12-20 08:02:00,54
2019-12-20 08:03:00,53
2019-12-20 08:04:00,55
2019-12-20 08:05:00,52
2019-12-20 08:06:00,50
2019-12-20 08:07:00,56
2019-12-20 08:08:00,52
2019-12-20 08:09:00,46
2019-12-20 08:10:00,43
2019-12-20 08:11:00,26
2019-12-20 08:12:00,40
2019-12-20 08:13:00,44
2019-12-20 08:14:00,45
2019-12-20 08:15:00,46
2019-12-20 08:16:00,44
2019-12-20 08:17:00,46
2019-12-20 08:18:00,46
2019-12-20 08:19:00,39
2019-12-20 08:20:00,45
2019-12-20 08:21:00,44
2019-12-20 08:22:00,48
2019-12-20 08:23:00,47
2019-12-20 08:24:00,50
2019-12-20 08:25:00,51
2019-12-20 08:26:00,50
2019-12-20 08:27:00,51
2019-12-20 08:28:00,64
2019-12-20 08:29:00,16
