5211,"SELECT  top #   p.objID, p.run, p.rerun, p.camcol, p.field, p.obj,    p.type, p.ra, p.dec, p.u,p.g,p.r,p.i,p.z,    p.Err_u, p.Err_g, p.Err_r,p.Err_i,p.Err_z    FROM fGetNearbyObjEq(#,#,#) n, PhotoPrimary p    WHERE n.objID=p.objID"
2019-12-20 00:00:00,1
2019-12-20 00:06:00,2
2019-12-20 00:07:00,4
2019-12-20 00:08:00,9
2019-12-20 00:09:00,20
2019-12-20 00:10:00,1
2019-12-20 00:16:00,2
2019-12-20 00:17:00,4
2019-12-20 00:18:00,9
2019-12-20 00:19:00,20
2019-12-20 00:20:00,1
2019-12-20 00:26:00,2
2019-12-20 00:27:00,4
2019-12-20 00:28:00,9
2019-12-20 00:29:00,20
2019-12-20 00:30:00,1
2019-12-20 00:36:00,2
2019-12-20 00:37:00,4
2019-12-20 00:38:00,9
2019-12-20 00:39:00,20
2019-12-20 00:40:00,1
2019-12-20 00:46:00,2
2019-12-20 00:47:00,4
2019-12-20 00:48:00,9
2019-12-20 00:49:00,20
2019-12-20 00:50:00,1
2019-12-20 00:56:00,2
2019-12-20 00:57:00,4
2019-12-20 00:58:00,9
2019-12-20 00:59:00,20
2019-12-20 01:00:00,1
2019-12-20 01:06:00,2
2019-12-20 01:07:00,4
2019-12-20 01:08:00,9
2019-12-20 01:09:00,20
2019-12-20 01:10:00,1
2019-12-20 01:17:00,6
2019-12-20 01:18:00,10
2019-12-20 01:19:00,20
2019-12-20 01:20:00,1
2019-12-20 01:27:00,6
2019-12-20 01:28:00,9
2019-12-20 01:29:00,20
2019-12-20 01:30:00,1
2019-12-20 01:37:00,6
2019-12-20 01:38:00,9
2019-12-20 01:39:00,20
2019-12-20 01:40:00,1
2019-12-20 01:47:00,6
2019-12-20 01:48:00,10
2019-12-20 01:49:00,20
2019-12-20 01:50:00,1
2019-12-20 01:57:00,6
2019-12-20 01:58:00,10
2019-12-20 01:59:00,21
2019-12-20 02:00:00,1
2019-12-20 02:07:00,6
2019-12-20 02:08:00,10
2019-12-20 02:09:00,20
2019-12-20 02:10:00,1
2019-12-20 02:17:00,6
2019-12-20 02:18:00,9
2019-12-20 02:19:00,21
2019-12-20 02:20:00,1
2019-12-20 02:27:00,6
2019-12-20 02:28:00,10
2019-12-20 02:29:00,20
2019-12-20 02:30:00,1
2019-12-20 02:37:00,6
2019-12-20 02:38:00,9
2019-12-20 02:39:00,20
2019-12-20 02:40:00,1
2019-12-20 02:47:00,6
2019-12-20 02:48:00,9
2019-12-20 02:49:00,20
2019-12-20 02:50:00,1
2019-12-20 02:57:00,6
2019-12-20 02:58:00,9
2019-12-20 02:59:00,20
2019-12-20 03:00:00,1
2019-12-20 03:07:00,6
2019-12-20 03:08:00,9
2019-12-20 03:09:00,20
2019-12-20 03:10:00,1
2019-12-20 03:17:00,6
2019-12-20 03:18:00,9
2019-12-20 03:19:00,20
2019-12-20 03:20:00,1
2019-12-20 03:27:00,6
2019-12-20 03:28:00,9
2019-12-20 03:29:00,20
2019-12-20 03:30:00,1
2019-12-20 03:37:00,6
2019-12-20 03:38:00,9
2019-12-20 03:39:00,22
2019-12-20 03:40:00,1
2019-12-20 03:47:00,6
2019-12-20 03:48:00,9
2019-12-20 03:49:00,20
2019-12-20 03:50:00,1
2019-12-20 03:57:00,6
2019-12-20 03:58:00,9
2019-12-20 03:59:00,20
2019-12-20 04:00:00,1
2019-12-20 04:07:00,6
2019-12-20 04:08:00,9
2019-12-20 04:09:00,20
2019-12-20 04:10:00,1
2019-12-20 04:17:00,6
2019-12-20 04:18:00,10
2019-12-20 04:19:00,20
2019-12-20 04:20:00,1
2019-12-20 04:27:00,6
2019-12-20 04:28:00,10
2019-12-20 04:29:00,20
2019-12-20 04:30:00,1
2019-12-20 04:37:00,6
2019-12-20 04:38:00,9
2019-12-20 04:39:00,20
2019-12-20 04:40:00,1
2019-12-20 04:47:00,6
2019-12-20 04:48:00,11
2019-12-20 04:49:00,20
2019-12-20 04:50:00,1
2019-12-20 04:57:00,6
2019-12-20 04:58:00,9
2019-12-20 04:59:00,20
2019-12-20 05:00:00,1
2019-12-20 05:07:00,6
2019-12-20 05:08:00,10
2019-12-20 05:09:00,20
2019-12-20 05:10:00,1
2019-12-20 05:17:00,6
2019-12-20 05:18:00,9
2019-12-20 05:19:00,20
2019-12-20 05:20:00,1
2019-12-20 05:27:00,6
2019-12-20 05:28:00,9
2019-12-20 05:29:00,20
2019-12-20 05:30:00,1
2019-12-20 05:37:00,6
2019-12-20 05:38:00,9
2019-12-20 05:39:00,20
2019-12-20 05:40:00,1
2019-12-20 05:47:00,6
2019-12-20 05:48:00,9
2019-12-20 05:49:00,20
2019-12-20 05:50:00,1
2019-12-20 05:57:00,6
2019-12-20 05:58:00,9
2019-12-20 05:59:00,20
2019-12-20 06:00:00,1
2019-12-20 06:07:00,6
2019-12-20 06:08:00,9
2019-12-20 06:09:00,20
2019-12-20 06:10:00,1
2019-12-20 06:17:00,6
2019-12-20 06:18:00,11
2019-12-20 06:19:00,20
2019-12-20 06:20:00,1
2019-12-20 06:27:00,6
2019-12-20 06:28:00,9
2019-12-20 06:29:00,20
2019-12-20 06:30:00,1
2019-12-20 06:37:00,6
2019-12-20 06:38:00,7
2019-12-20 06:39:00,22
2019-12-20 06:40:00,1
2019-12-20 06:47:00,6
2019-12-20 06:48:00,7
2019-12-20 06:49:00,22
2019-12-20 06:50:00,1
2019-12-20 06:57:00,6
2019-12-20 06:58:00,7
2019-12-20 06:59:00,23
2019-12-20 07:00:00,1
2019-12-20 07:07:00,6
2019-12-20 07:08:00,7
2019-12-20 07:09:00,22
2019-12-20 07:10:00,1
2019-12-20 07:17:00,6
2019-12-20 07:18:00,7
2019-12-20 07:19:00,22
2019-12-20 07:20:00,1
2019-12-20 07:27:00,6
2019-12-20 07:28:00,7
2019-12-20 07:29:00,22
2019-12-20 07:30:00,1
