256,"select name,ucd from dbcolumns where tablename = &&& and ( name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&&)"
2019-03-01 00:58:00,1
2019-03-01 01:48:00,9
2019-03-01 01:55:00,1
2019-03-01 01:57:00,1
2019-03-01 02:11:00,18
2019-03-01 02:26:00,9
2019-03-01 02:58:00,1
2019-03-01 03:58:00,1
2019-03-01 04:10:00,9
2019-03-01 04:58:00,1
2019-03-01 05:12:00,18
2019-03-01 05:55:00,9
2019-03-01 05:58:00,1
2019-03-01 07:00:00,1
2019-03-01 07:07:00,1
2019-03-01 07:08:00,8
2019-03-01 07:11:00,1
2019-03-01 07:12:00,1
2019-03-01 07:19:00,17
2019-03-01 07:20:00,1
2019-03-01 07:51:00,16
2019-03-01 07:52:00,2
2019-03-01 07:58:00,1
2019-03-01 08:01:00,18
2019-03-01 08:16:00,16
2019-03-01 08:17:00,2
2019-03-01 08:43:00,18
2019-03-01 08:58:00,19
2019-03-01 09:58:00,1
2019-03-01 10:23:00,18
2019-03-01 10:59:00,1
2019-03-01 11:58:00,1
2019-03-01 12:02:00,9
2019-03-01 12:59:00,1
2019-03-01 13:29:00,7
2019-03-01 13:30:00,2
2019-03-01 13:32:00,9
2019-03-01 13:58:00,1
2019-03-01 14:59:00,1
2019-03-01 15:58:00,1
2019-03-01 16:58:00,1
2019-03-01 17:58:00,1
2019-03-01 18:58:00,1
