10271,"SELECT TOP # s.ra, s.dec, s.specobjid, s.z, s.zErr, s.zWarning, s.sciencePrimary, s.class, s.subclass, p.type FROM ..SpecObj as s LEFT JOIN ..PhotoObj AS p ON s.bestObjID=p.objID JOIN dbo.fGetNearbySpecObjEq(#,#,#) AS b ON b.SpecobjID = S.SpecobjID"
2019-03-01 16:49:00,1
2019-03-01 16:54:00,1
2019-03-01 16:55:00,2
2019-03-01 17:09:00,1
2019-03-01 17:11:00,4
2019-03-01 17:12:00,12
2019-03-01 17:13:00,12
2019-03-01 17:14:00,12
2019-03-01 17:15:00,12
2019-03-01 17:16:00,7
2019-03-01 17:17:00,5
2019-03-01 17:18:00,5
2019-03-01 17:20:00,5
2019-03-01 17:21:00,5
2019-03-01 17:27:00,2
2019-03-01 17:31:00,1
2019-03-01 17:32:00,7
2019-03-01 17:33:00,11
2019-03-01 17:34:00,11
2019-03-01 17:35:00,11
2019-03-01 17:36:00,11
2019-03-01 17:37:00,11
2019-03-01 17:38:00,12
2019-03-01 17:39:00,10
2019-03-01 17:40:00,12
2019-03-01 17:41:00,11
2019-03-01 17:42:00,11
2019-03-01 17:43:00,11
2019-03-01 17:44:00,11
2019-03-01 17:45:00,11
2019-03-01 17:46:00,11
2019-03-01 17:47:00,11
2019-03-01 17:48:00,12
2019-03-01 17:49:00,11
2019-03-01 17:50:00,11
2019-03-01 17:51:00,11
2019-03-01 17:52:00,11
2019-03-01 17:53:00,11
2019-03-01 17:54:00,11
2019-03-01 17:55:00,10
2019-03-01 17:56:00,11
2019-03-01 17:57:00,10
2019-03-01 17:58:00,11
2019-03-01 17:59:00,10
2019-03-01 18:00:00,11
2019-03-01 18:01:00,10
2019-03-01 18:02:00,11
2019-03-01 18:03:00,11
2019-03-01 18:04:00,11
2019-03-01 18:05:00,11
2019-03-01 18:06:00,11
2019-03-01 18:07:00,11
2019-03-01 18:08:00,11
2019-03-01 18:09:00,11
2019-03-01 18:10:00,11
2019-03-01 18:11:00,12
2019-03-01 18:12:00,11
2019-03-01 18:13:00,11
2019-03-01 18:14:00,11
2019-03-01 18:15:00,11
2019-03-01 18:16:00,11
2019-03-01 18:17:00,11
2019-03-01 18:18:00,11
2019-03-01 18:19:00,11
2019-03-01 18:20:00,11
2019-03-01 18:21:00,11
2019-03-01 18:22:00,11
2019-03-01 18:23:00,10
2019-03-01 18:24:00,11
2019-03-01 18:25:00,11
2019-03-01 18:26:00,11
2019-03-01 18:27:00,12
2019-03-01 18:28:00,11
2019-03-01 18:29:00,11
2019-03-01 18:30:00,11
2019-03-01 18:31:00,11
2019-03-01 18:32:00,11
2019-03-01 18:33:00,11
2019-03-01 18:34:00,11
2019-03-01 18:35:00,11
2019-03-01 18:36:00,10
2019-03-01 18:37:00,11
2019-03-01 18:38:00,11
2019-03-01 18:39:00,11
2019-03-01 18:40:00,10
2019-03-01 18:41:00,11
2019-03-01 18:42:00,11
2019-03-01 18:43:00,4
2019-03-01 18:46:00,4
2019-03-01 18:47:00,6
2019-03-01 19:07:00,3
2019-03-01 19:08:00,11
2019-03-01 19:09:00,44
2019-03-01 19:10:00,55
2019-03-01 19:21:00,11
2019-03-01 19:22:00,88
2019-03-01 19:23:00,63
2019-03-01 19:24:00,58
2019-03-01 19:25:00,60
2019-03-01 19:26:00,61
2019-03-01 19:27:00,8
2019-03-01 19:29:00,9
2019-03-01 21:52:00,53
2019-03-01 21:55:00,7
2019-03-01 21:56:00,32
2019-03-01 21:57:00,16
2019-03-01 21:58:00,106
2019-03-01 21:59:00,112
2019-03-01 22:00:00,145
2019-03-01 22:01:00,91
2019-03-01 22:02:00,112
2019-03-01 22:03:00,103
2019-03-01 22:04:00,77
2019-03-01 22:05:00,64
2019-03-01 22:06:00,33
2019-03-01 22:07:00,107
2019-03-01 22:08:00,89
2019-03-01 22:09:00,109
2019-03-01 22:10:00,85
2019-03-01 22:11:00,109
2019-03-01 22:12:00,81
2019-03-01 22:13:00,79
2019-03-01 22:14:00,99
2019-03-01 22:15:00,94
2019-03-01 22:16:00,73
2019-03-01 22:17:00,81
2019-03-01 22:18:00,85
2019-03-01 22:19:00,83
2019-03-01 22:20:00,80
2019-03-01 22:21:00,67
2019-03-01 22:22:00,73
2019-03-01 22:23:00,60
2019-03-01 22:24:00,75
2019-03-01 22:25:00,79
2019-03-01 22:26:00,74
2019-03-01 22:27:00,65
2019-03-01 22:28:00,69
2019-03-01 22:29:00,69
2019-03-01 22:30:00,65
2019-03-01 22:31:00,71
2019-03-01 22:32:00,110
2019-03-01 22:33:00,71
2019-03-01 22:34:00,85
2019-03-01 22:35:00,75
2019-03-01 22:36:00,97
2019-03-01 22:37:00,78
2019-03-01 22:38:00,60
2019-03-01 22:39:00,56
2019-03-01 22:40:00,60
2019-03-01 22:41:00,59
2019-03-01 22:42:00,60
2019-03-01 22:43:00,70
2019-03-01 22:44:00,61
2019-03-01 22:45:00,72
2019-03-01 22:46:00,67
2019-03-01 22:47:00,62
2019-03-01 22:48:00,66
2019-03-01 22:49:00,60
2019-03-01 22:50:00,66
2019-03-01 22:51:00,89
2019-03-01 22:52:00,72
2019-03-01 22:53:00,93
2019-03-01 22:54:00,127
2019-03-01 22:55:00,32
2019-03-01 22:57:00,33
2019-03-01 22:58:00,97
2019-03-01 22:59:00,93
2019-03-01 23:00:00,91
2019-03-01 23:01:00,93
2019-03-01 23:02:00,77
2019-03-01 23:03:00,71
2019-03-01 23:04:00,59
2019-03-01 23:05:00,63
2019-03-01 23:06:00,55
2019-03-01 23:07:00,71
2019-03-01 23:08:00,89
2019-03-01 23:09:00,70
2019-03-01 23:10:00,61
2019-03-01 23:11:00,67
2019-03-01 23:12:00,68
2019-03-01 23:13:00,100
2019-03-01 23:14:00,67
2019-03-01 23:15:00,56
2019-03-01 23:16:00,58
2019-03-01 23:17:00,57
2019-03-01 23:18:00,59
2019-03-01 23:19:00,57
2019-03-01 23:20:00,59
2019-03-01 23:21:00,62
2019-03-01 23:22:00,60
2019-03-01 23:23:00,59
2019-03-01 23:24:00,60
2019-03-01 23:25:00,67
2019-03-01 23:26:00,60
2019-03-01 23:27:00,65
2019-03-01 23:28:00,70
2019-03-01 23:29:00,58
2019-03-01 23:30:00,58
2019-03-01 23:31:00,53
2019-03-01 23:32:00,59
2019-03-01 23:33:00,53
2019-03-01 23:34:00,61
2019-03-01 23:35:00,62
2019-03-01 23:36:00,73
2019-03-01 23:37:00,65
2019-03-01 23:38:00,72
2019-03-01 23:39:00,67
2019-03-01 23:40:00,73
2019-03-01 23:41:00,87
2019-03-01 23:42:00,66
2019-03-01 23:43:00,83
2019-03-01 23:44:00,64
2019-03-01 23:45:00,64
2019-03-01 23:46:00,68
2019-03-01 23:47:00,77
2019-03-01 23:48:00,58
2019-03-01 23:49:00,61
2019-03-01 23:50:00,65
2019-03-01 23:51:00,78
2019-03-01 23:52:00,57
2019-03-01 23:53:00,62
2019-03-01 23:54:00,74
2019-03-01 23:55:00,60
2019-03-01 23:56:00,68
2019-03-01 23:57:00,67
2019-03-01 23:58:00,55
2019-03-01 23:59:00,63
