220,select apstar_id from apogeestar where apogeestar.dec between # and # and apogeestar.ra between # and #
2019-03-01 09:04:00,6
2019-03-01 09:05:00,22
2019-03-01 09:33:00,3
2019-03-01 09:56:00,20
2019-03-01 10:04:00,15
2019-03-01 10:20:00,11
2019-03-01 10:23:00,6
2019-03-01 10:24:00,4
2019-03-01 10:59:00,1
2019-03-01 13:53:00,8
2019-03-01 13:54:00,4
2019-03-01 14:57:00,23
2019-03-01 14:58:00,12
2019-03-01 14:59:00,13
2019-03-01 15:39:00,6
2019-03-01 15:40:00,12
2019-03-01 15:41:00,15
2019-03-01 17:24:00,5
2019-03-01 17:25:00,17
2019-03-01 18:09:00,17
