1206,select objid from photoprimary where photoprimary.dec between -.# and -.# and photoprimary.ra between # and #
2019-03-01 09:05:00,3
2019-03-01 10:24:00,1
2019-03-01 10:57:00,8
2019-03-01 10:58:00,2
2019-03-01 10:59:00,5
2019-03-01 11:00:00,1
2019-03-01 11:19:00,1
2019-03-01 13:02:00,1
2019-03-01 13:07:00,5
2019-03-01 13:08:00,1
2019-03-01 13:14:00,23
2019-03-01 13:15:00,2
2019-03-01 13:16:00,2
2019-03-01 13:49:00,7
2019-03-01 13:51:00,11
2019-03-01 14:38:00,1
2019-03-01 14:59:00,76
2019-03-01 15:13:00,7
2019-03-01 15:14:00,230
2019-03-01 15:16:00,32
2019-03-01 15:17:00,324
2019-03-01 15:18:00,37
2019-03-01 15:30:00,17
2019-03-01 15:39:00,44
2019-03-01 15:40:00,13
2019-03-01 15:41:00,2
2019-03-01 15:42:00,25
2019-03-01 15:44:00,10
2019-03-01 15:53:00,5
2019-03-01 16:10:00,20
2019-03-01 16:16:00,100
2019-03-01 16:17:00,47
2019-03-01 16:18:00,1
2019-03-01 16:26:00,17
2019-03-01 17:03:00,5
2019-03-01 17:05:00,11
2019-03-01 17:09:00,4
2019-03-01 17:12:00,21
2019-03-01 17:13:00,24
2019-03-01 17:14:00,50
2019-03-01 18:10:00,4
2019-03-01 18:12:00,4
2019-03-01 18:13:00,2
