10,"select   psfMag_r, psfMagErr_r,  petroR5#_r, petroR5#Err_r, petroR9#_r, petroR9#Err_r,   deVRad_r, deVRadErr_r, deVAB_r, deVABErr_r,   expRad_r, expRadErr_r, expAB_r, expABErr_r,  gx.spiral, gx.elliptical  from PhotoObjAll as phot  join dbo.zooSpec as gx on phot.objID=gx.objid  where gx.uncertain = #"
2019-03-01 01:46:00,1
2019-03-01 01:57:00,1
2019-03-01 02:50:00,1
2019-03-01 13:54:00,1
2019-03-01 14:10:00,1
2019-03-01 16:07:00,1
2019-03-01 16:31:00,1
2019-03-01 19:43:00,1
2019-03-01 20:10:00,1
2019-03-01 20:26:00,1
