141,"SELECT TOP # rerun, camcol, field FROM PhotoObj WHERE ra BETWEEN # and # AND dec BETWEEN # and #"
2019-03-01 01:05:00,3
2019-03-01 01:10:00,2
2019-03-01 02:15:00,1
2019-03-01 02:20:00,1
2019-03-01 07:50:00,9
2019-03-01 07:55:00,3
2019-03-01 09:55:00,3
2019-03-01 10:00:00,1
2019-03-01 10:35:00,4
2019-03-01 10:39:00,1
2019-03-01 10:40:00,2
2019-03-01 11:00:00,1
2019-03-01 11:05:00,9
2019-03-01 11:10:00,8
2019-03-01 11:15:00,3
2019-03-01 11:20:00,3
2019-03-01 11:35:00,6
2019-03-01 11:40:00,4
2019-03-01 11:50:00,11
2019-03-01 11:55:00,7
2019-03-01 12:15:00,15
2019-03-01 12:20:00,19
2019-03-01 12:21:00,4
2019-03-01 19:05:00,1
2019-03-01 21:05:00,1
2019-03-01 21:10:00,1
2019-03-01 21:35:00,2
2019-03-01 21:40:00,2
2019-03-01 22:35:00,2
2019-03-01 22:40:00,2
2019-03-01 23:45:00,5
2019-03-01 23:50:00,5
