503,"SELECT objid, ra, dec FROM PhotoObj WHERE objid=#"
2019-03-01 16:48:00,3
2019-03-01 16:49:00,12
2019-03-01 16:50:00,11
2019-03-01 16:51:00,13
2019-03-01 16:52:00,11
2019-03-01 16:53:00,12
2019-03-01 16:59:00,8
2019-03-01 17:00:00,12
2019-03-01 17:01:00,12
2019-03-01 17:02:00,11
2019-03-01 17:03:00,12
2019-03-01 17:04:00,11
2019-03-01 17:05:00,11
2019-03-01 17:06:00,15
2019-03-01 17:07:00,11
2019-03-01 17:08:00,11
2019-03-01 17:09:00,13
2019-03-01 17:10:00,12
2019-03-01 17:11:00,13
2019-03-01 17:12:00,11
2019-03-01 17:13:00,11
2019-03-01 17:14:00,11
2019-03-01 17:15:00,15
2019-03-01 17:16:00,12
2019-03-01 17:17:00,12
2019-03-01 17:18:00,11
2019-03-01 17:19:00,12
2019-03-01 17:20:00,10
2019-03-01 17:21:00,2
2019-03-01 17:22:00,13
2019-03-01 17:23:00,12
2019-03-01 17:24:00,15
2019-03-01 17:25:00,11
2019-03-01 17:26:00,9
2019-03-01 17:27:00,11
2019-03-01 17:28:00,13
2019-03-01 17:29:00,13
2019-03-01 17:30:00,12
2019-03-01 17:31:00,11
2019-03-01 17:32:00,12
2019-03-01 17:33:00,10
2019-03-01 17:34:00,13
2019-03-01 17:35:00,11
2019-03-01 17:36:00,11
2019-03-01 17:37:00,5
