14,"SELECT count(*) as &&&,   sum( case when (Type=#) then # else # end) as &&&,  sum( case when (Type=#) then # else # end) as &&&,  sum( case when (Type not in (#,#)) then # else # end) as &&&  FROM PhotoPrimary   WHERE (( u - g > #) or (u > #) )   and ( i between # and # )   and ( g - r > # )   and ( (r - i < # + # * (g - r - #)) or (g - r > # ) )  and ( i - z < # )"
2019-03-01 01:26:00,1
2019-03-01 01:51:00,1
2019-03-01 02:22:00,1
2019-03-01 03:39:00,1
2019-03-01 06:41:00,1
2019-03-01 09:24:00,1
2019-03-01 10:06:00,1
2019-03-01 10:26:00,3
2019-03-01 17:56:00,1
2019-03-01 18:31:00,1
2019-03-01 18:34:00,1
2019-03-01 21:15:00,1
