601,select objid from photoobj where photoobj.dec between # and # and photoobj.ra between # and #
2019-03-01 00:11:00,3
2019-03-01 00:18:00,39
2019-03-01 00:19:00,46
2019-03-01 00:26:00,17
2019-03-01 09:04:00,1
2019-03-01 09:05:00,2
2019-03-01 10:58:00,26
2019-03-01 13:50:00,64
2019-03-01 13:52:00,149
2019-03-01 13:53:00,171
2019-03-01 14:38:00,1
2019-03-01 14:42:00,1
2019-03-01 15:42:00,52
2019-03-01 16:17:00,1
2019-03-01 16:21:00,1
2019-03-01 16:50:00,2
2019-03-01 17:23:00,2
2019-03-01 17:48:00,5
2019-03-01 17:49:00,5
2019-03-01 18:08:00,11
2019-03-01 23:25:00,2
