1407,"select survey, run2d, plate,mjd, fiberID, specObjID from SpecObj where class = &&& and ra between # and # and dec between # and #"
2019-03-01 04:49:00,40
2019-03-01 04:50:00,95
2019-03-01 04:51:00,79
2019-03-01 04:52:00,68
2019-03-01 04:53:00,71
2019-03-01 04:54:00,72
2019-03-01 04:55:00,87
2019-03-01 04:56:00,83
2019-03-01 04:57:00,91
2019-03-01 04:58:00,86
2019-03-01 04:59:00,98
2019-03-01 05:00:00,74
2019-03-01 05:01:00,77
2019-03-01 05:02:00,83
2019-03-01 05:03:00,93
2019-03-01 05:04:00,97
2019-03-01 05:05:00,98
2019-03-01 05:06:00,15
