5277,"SELECT DISTINCT p.ra, p.dec, p.modelMag_u, p.modelMag_g, p.modelMag_r, p.modelMag_i, s.Z, s.class FROM PhotoObjAll AS p JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-03-01 10:43:00,9
2019-03-01 10:45:00,2
2019-03-01 10:46:00,4
2019-03-01 10:47:00,99
2019-03-01 10:48:00,73
2019-03-01 10:49:00,122
2019-03-01 10:50:00,127
2019-03-01 10:51:00,135
2019-03-01 10:52:00,139
2019-03-01 10:53:00,78
2019-03-01 15:36:00,21
2019-03-01 15:37:00,120
2019-03-01 15:38:00,105
2019-03-01 15:39:00,109
2019-03-01 15:40:00,125
2019-03-01 15:41:00,97
2019-03-01 15:42:00,132
2019-03-01 15:43:00,116
2019-03-01 15:44:00,109
2019-03-01 15:45:00,133
2019-03-01 15:46:00,113
2019-03-01 15:47:00,128
2019-03-01 15:48:00,135
2019-03-01 15:49:00,143
2019-03-01 15:50:00,141
2019-03-01 15:51:00,128
2019-03-01 15:52:00,124
2019-03-01 15:53:00,133
2019-03-01 15:54:00,134
2019-03-01 15:55:00,143
2019-03-01 15:56:00,137
2019-03-01 15:57:00,146
2019-03-01 15:58:00,150
2019-03-01 15:59:00,161
2019-03-01 16:00:00,170
2019-03-01 16:01:00,170
2019-03-01 16:02:00,171
2019-03-01 16:03:00,175
2019-03-01 16:04:00,170
2019-03-01 16:05:00,168
2019-03-01 16:06:00,151
2019-03-01 16:07:00,130
2019-03-01 16:08:00,140
2019-03-01 16:09:00,61
