4940,"SELECT p.objid,p.ra,p.dec, s.specobjid, s.class, s.z as redshift FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE s.z ># AND s.z < # AND s.class = GALAXY&&&"
2019-09-24 19:01:00,131
2019-09-24 19:02:00,119
2019-09-24 19:03:00,119
2019-09-24 19:04:00,126
2019-09-24 19:05:00,193
2019-09-24 19:06:00,170
2019-09-24 19:07:00,162
2019-09-24 19:08:00,154
2019-09-24 19:09:00,144
2019-09-24 19:10:00,131
2019-09-24 19:11:00,179
2019-09-24 19:12:00,160
2019-09-24 19:13:00,162
2019-09-24 19:14:00,142
2019-09-24 19:15:00,174
2019-09-24 19:16:00,134
2019-09-24 19:17:00,149
2019-09-24 19:18:00,142
2019-09-24 19:19:00,165
2019-09-24 19:20:00,141
2019-09-24 19:21:00,129
2019-09-24 19:22:00,103
2019-09-24 19:23:00,115
2019-09-24 19:24:00,129
2019-09-24 19:25:00,162
2019-09-24 19:26:00,157
2019-09-24 19:27:00,171
2019-09-24 19:28:00,168
2019-09-24 19:29:00,159
2019-09-24 19:30:00,174
2019-09-24 19:31:00,159
2019-09-24 19:32:00,75
2019-09-24 19:45:00,37
2019-09-24 19:46:00,113
2019-09-24 19:47:00,48
2019-09-24 19:54:00,22
2019-09-24 19:55:00,22
