22,"SELECT TOP #  p.objid,p.ra,p.dec,p.u,p.g,p.r,p.i,p.z,  p.run, p.rerun, p.camcol, p.field,  s.specobjid, s.specClass, s.z,  s.plate, s.mjd, s.fiberid FROM PhotoObj AS p  JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE   p.u BETWEEN # AND #  AND g BETWEEN # AND #"
2019-09-24 17:31:00,3
2019-09-24 17:32:00,1
2019-09-24 17:35:00,4
2019-09-24 17:36:00,1
2019-09-24 17:37:00,2
2019-09-24 17:38:00,2
2019-09-24 17:40:00,3
2019-09-24 17:41:00,1
2019-09-24 18:05:00,2
2019-09-24 18:11:00,2
2019-09-24 18:23:00,1
