34,select count(*) as thecount
2019-09-24 09:14:00,1
2019-09-24 09:21:00,1
2019-09-24 09:22:00,1
2019-09-24 10:05:00,2
2019-09-24 10:06:00,1
2019-09-24 10:32:00,1
2019-09-24 10:34:00,1
2019-09-24 10:55:00,1
2019-09-24 11:14:00,1
2019-09-24 11:15:00,3
2019-09-24 11:37:00,1
2019-09-24 11:38:00,2
2019-09-24 12:04:00,2
2019-09-24 12:35:00,1
2019-09-24 12:56:00,1
2019-09-24 14:13:00,2
2019-09-24 14:14:00,1
2019-09-24 16:36:00,2
2019-09-24 17:55:00,1
2019-09-24 17:56:00,3
2019-09-24 19:29:00,1
2019-09-24 19:55:00,2
2019-09-24 19:56:00,2
