24,"select top # p.ra, p.dec, p.deVRad_r, q.z from galaxy p, dbo.fgetNearByObjEq(#,#,#) n, galSpecInfo q where p.objid=n.objid and p.specObjID=q.specObjID and p.specObjID<># and q.z># and abs(#*(#-q.z))<#"
2019-09-24 11:59:00,1
2019-09-24 12:29:00,1
2019-09-24 12:32:00,1
2019-09-24 12:38:00,1
2019-09-24 14:52:00,1
2019-09-24 15:02:00,1
2019-09-24 15:07:00,1
2019-09-24 15:52:00,1
2019-09-24 15:54:00,1
2019-09-24 15:55:00,1
2019-09-24 15:58:00,1
2019-09-24 15:59:00,1
2019-09-24 16:01:00,1
2019-09-24 16:10:00,1
2019-09-24 16:11:00,1
2019-09-24 16:28:00,1
2019-09-24 16:36:00,1
2019-09-24 16:37:00,1
2019-09-24 17:55:00,1
2019-09-24 21:55:00,1
2019-09-24 21:59:00,1
2019-09-24 22:01:00,2
2019-09-24 23:06:00,1
