44,"SELECT DISTINCT p.run, p.rerun, p.camcol, p.field FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-09-24 01:39:00,1
2019-09-24 01:46:00,1
2019-09-24 01:47:00,6
2019-09-24 01:49:00,1
2019-09-24 01:52:00,1
2019-09-24 12:36:00,1
2019-09-24 12:40:00,1
2019-09-24 13:25:00,1
2019-09-24 13:29:00,1
2019-09-24 13:30:00,2
2019-09-24 13:31:00,1
2019-09-24 13:32:00,2
2019-09-24 16:10:00,1
2019-09-24 16:18:00,1
2019-09-24 19:35:00,1
2019-09-24 19:37:00,1
2019-09-24 19:40:00,1
2019-09-24 19:44:00,1
2019-09-24 19:48:00,1
2019-09-24 19:52:00,1
2019-09-24 20:02:00,1
2019-09-24 20:04:00,1
2019-09-24 20:06:00,1
2019-09-24 20:14:00,1
2019-09-24 20:20:00,1
2019-09-24 20:27:00,1
2019-09-24 20:34:00,1
2019-09-24 20:40:00,1
2019-09-24 21:17:00,1
2019-09-24 21:22:00,1
2019-09-24 21:29:00,1
2019-09-24 21:33:00,1
2019-09-24 21:35:00,1
2019-09-24 21:39:00,1
2019-09-24 21:43:00,1
2019-09-24 21:46:00,1
2019-09-24 21:50:00,1
