13,"SELECT TOP #  p.ra,p.dec,p.u as u_mag, p.Err_u, p.g as g_mag, p.Err_g ,p.r as r_mag,p.Err_r, p.i as i_mag, p.Err_i,p.z as z_mag,p.Err_z, s.z as redshift FROM PhotoObj AS p  JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE   s.z < # AND  p.ra BETWEEN # AND # AND  p.dec BETWEEN # AND #"
2019-09-24 19:44:00,2
2019-09-24 19:45:00,1
2019-09-24 19:49:00,1
2019-09-24 19:56:00,1
2019-09-24 20:08:00,1
2019-09-24 20:11:00,1
2019-09-24 20:13:00,2
2019-09-24 20:14:00,3
2019-09-24 20:28:00,1
