2,"SELECT s.ra,s.dec,s.plate,s.mjd,s.fiberid,s.z,s.modelMag_u,s.modelMag_g,s.modelMag_r,s.modelMag_i,s.modelMag_z,s.zWarning,s.Class FROM SpecPhotoAll as s, MyDB.qso_pmf as m INTO MyDB.qso_full   WHERE s.plate = m.plate AND s.mjd = m.mjd AND s.fiberid = m.fiberid"
2019-09-24 03:27:00,1
2019-09-24 03:28:00,1
