244,"SELECT TOP # p.objid,p.ra,p.dec, s.specobjid, s.class, s.z as redshift FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE s.z ># AND s.z < # AND s.class = GALAXY&&&"
2019-09-24 13:06:00,20
2019-09-24 13:07:00,75
2019-09-24 13:08:00,5
2019-09-24 19:32:00,11
2019-09-24 19:33:00,94
2019-09-24 19:38:00,1
2019-09-24 19:39:00,1
2019-09-24 19:42:00,2
2019-09-24 19:43:00,3
2019-09-24 19:44:00,32
