729,"SELECT top # p.objid,p.ra,p.dec, s.specobjid, s.class, s.z as redshift FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE s.z ># AND s.z < # AND s.class = GALAXY&&&"
2019-09-24 19:56:00,22
2019-09-24 19:57:00,2
2019-09-24 19:58:00,2
2019-09-24 19:59:00,2
2019-09-24 20:00:00,2
2019-09-24 20:01:00,7
2019-09-24 20:02:00,82
2019-09-24 20:03:00,68
2019-09-24 20:04:00,72
2019-09-24 20:05:00,79
2019-09-24 20:06:00,77
2019-09-24 20:07:00,61
2019-09-24 20:08:00,62
2019-09-24 20:09:00,21
2019-09-24 20:10:00,85
2019-09-24 20:11:00,9
2019-09-24 20:12:00,76
