2,"select top #   g.objid, g.ra, g.dec, s.bestobjid, s.z from galaxy as g   join specobj as s on s.bestobjid = g.objid where   g.ra between # and # and g.dec between # and #"
2019-09-24 10:43:00,1
2019-09-24 11:00:00,1
