160,"SELECT TOP # rerun, camcol, field FROM PhotoObj WHERE ra BETWEEN # and # AND dec BETWEEN # and #"
2019-09-24 06:50:00,12
2019-09-24 08:35:00,5
2019-09-24 08:50:00,20
2019-09-24 11:35:00,1
2019-09-24 13:20:00,20
2019-09-24 13:50:00,2
2019-09-24 14:20:00,7
2019-09-24 14:35:00,3
2019-09-24 15:10:00,2
2019-09-24 15:20:00,5
2019-09-24 16:50:00,29
2019-09-24 16:51:00,2
2019-09-24 17:55:00,2
2019-09-24 19:20:00,11
2019-09-24 20:20:00,1
2019-09-24 20:21:00,9
2019-09-24 20:22:00,7
2019-09-24 21:00:00,1
2019-09-24 21:01:00,17
2019-09-24 21:05:00,2
2019-09-24 23:35:00,2
