2,"select * from cell  where sampleid =#     and px between # and #    and py between # and # --   and ptype=# ) select cg.geom.ToString() as wkt,cg.geom.STArea() as area, cg.cellid , cx,cy,px,py from ca   join cellgeom cg on cg.cellid=ca.cellid and cg.btype=#"
2019-09-24 14:41:00,1
2019-09-24 15:23:00,1
