5,"SELECT TOP # s.SpecObjID, s.z INTO mydb.Try1 FROM SpecObj as S   JOIN SpecLineAll as L ON S.SpecObjID = L.specObjID   WHERE L.LineId = #"
2019-09-24 08:17:00,3
2019-09-24 08:18:00,1
2019-09-24 08:19:00,1
