2,"SELECT TOP # g.u, g.g, g.r, g.i, g.z, g.ra, g.dec, g.flags_r, g.specobjid, s.z from GALAXY as g   JOIN SpecObj AS s ON s.bestobjid = g.objid WHERE   g.ra BETWEEN # and # AND   g.dec BETWEEN # and # AND   ((g.flags_r & #) != #) AND   ((g.flags_r & #) = #) AND   (((g.flags_r & #) = #) or (psfmagerr_r <= #)) AND   (((g.flags_r & #) = #) or (g.flags_r & #) = #)"
2019-09-24 09:02:00,1
2019-09-24 09:05:00,1
