3,"select top # p.ra, p.dec, p.u, p.g, p.r, p.i, p.z from star p, dbo.fgetNearByObjEq(#,#,#) n where p.objid=n.objid"
2019-09-24 19:23:00,1
2019-09-24 19:24:00,1
2019-09-24 19:26:00,1
