800,"SELECT DISTINCT TOP # p.run, p.rerun, p.camcol, max(p.field) as &&&, max(p.ra) as &&&, max(p.dec) as &&& FROM PhotoObjAll p WHERE (p.ra BETWEEN # AND #) AND (p.dec BETWEEN # AND #) GROUP BY p.run, p.rerun, p.camcol"
2019-09-24 12:42:00,40
2019-09-24 12:58:00,13
2019-09-24 12:59:00,27
2019-09-24 13:07:00,16
2019-09-24 13:08:00,67
2019-09-24 13:09:00,69
2019-09-24 13:10:00,48
2019-09-24 14:14:00,9
2019-09-24 14:15:00,31
2019-09-24 14:35:00,40
2019-09-24 15:13:00,24
2019-09-24 15:14:00,16
2019-09-24 16:03:00,32
2019-09-24 16:04:00,49
2019-09-24 16:05:00,39
2019-09-24 17:13:00,17
2019-09-24 17:14:00,23
2019-09-24 18:29:00,46
2019-09-24 18:30:00,34
2019-09-24 18:32:00,39
2019-09-24 18:33:00,65
2019-09-24 18:34:00,56
