19,"SELECT  sp.ra, sp.dec, sp.z as redshift, so.bestobjId,  sp.modelMag_g as g, sp.modelMagerr_g as err_g,   sp.modelMag_i as i, sp.modelMagerr_i as err_i,  gs.h_alpha_eqw, gs.oii_#_eqw,   p.aperFlux7_g, p.aperFlux7Ivar_g as var_g,  p.aperFlux7_i, p.aperFlux7Ivar_i as var_i    FROM GalSpecLine AS gs   JOIN SpecPhoto AS sp ON sp.specobjid = gs.specobjid   JOIN dbo.fGetNearbySpecObjEq(#,#,#) AS GN  ON GN.specobjID = gs.specobjid  JOIN Galaxy as gal ON gal.specobjId = gs.specobjid  JOIN PhotoObjAll as p ON p.specObjId = gs.specobjID  JOIN SpecObjAll as so ON so.specObjId = gs.specObjID    WHERE   h_alpha_eqw between # and #   and oii_#_eqw between # and #   and sp.modelMag_g-sp.modelMag_i between # and #   and sp.z between # and #   and sp.modelMag_i-#*log1#(#E+#*sp.z) < #"
2019-02-24 21:49:00,1
2019-02-24 21:53:00,1
2019-02-24 21:56:00,2
2019-02-24 21:58:00,1
2019-02-24 22:06:00,1
2019-02-24 22:07:00,2
2019-02-24 22:08:00,1
2019-02-24 22:12:00,1
2019-02-24 22:15:00,2
2019-02-24 22:17:00,1
2019-02-24 22:26:00,1
2019-02-24 22:27:00,1
2019-02-24 22:28:00,2
2019-02-24 22:29:00,1
2019-02-24 22:30:00,1
