25,select * from stellarMassFSPSGranEarlyDust where specObjId=#
2019-02-24 00:08:00,1
2019-02-24 00:11:00,1
2019-02-24 03:03:00,1
2019-02-24 03:11:00,1
2019-02-24 03:29:00,1
2019-02-24 03:44:00,1
2019-02-24 04:01:00,1
2019-02-24 05:10:00,1
2019-02-24 05:32:00,1
2019-02-24 06:14:00,1
2019-02-24 06:46:00,1
2019-02-24 08:00:00,1
2019-02-24 08:08:00,1
2019-02-24 08:54:00,1
2019-02-24 09:56:00,1
2019-02-24 12:34:00,1
2019-02-24 14:21:00,1
2019-02-24 14:49:00,1
2019-02-24 15:34:00,1
2019-02-24 17:01:00,1
2019-02-24 17:30:00,1
2019-02-24 18:10:00,1
2019-02-24 18:48:00,1
2019-02-24 18:58:00,1
2019-02-24 22:57:00,1
