162,"SELECT  p.specobjId, so.bestobjId, p.type,  sp.ra, sp.dec, sp.z as redshift,  sp.modelMag_g as g, sp.modelMagerr_g as err_g,   sp.modelMag_i as i, sp.modelMagerr_i as err_i,  gs.h_alpha_eqw, gs.oii_#_eqw,   p.aperFlux7_g, p.aperFlux7Ivar_g as var_g,  p.aperFlux7_i, p.aperFlux7Ivar_i as var_i    FROM GalSpecLine AS gs   JOIN SpecPhoto AS sp ON sp.specobjid = gs.specobjid   JOIN dbo.fGetNearbySpecObjEq(#,#,#) AS GN  ON GN.specobjID = gs.specobjid  JOIN Galaxy as gal ON gal.specobjId = gs.specobjid  JOIN PhotoObj as p ON p.specObjId = gs.specobjID  JOIN SpecObjAll as so ON so.specObjId = gs.specObjID    WHERE   h_alpha_eqw between # and #   and oii_#_eqw between # and #   and sp.modelMag_g-sp.modelMag_i between # and #   and sp.z between # and #   and sp.modelMag_i-#*log1#(#E+#*sp.z) < #"
2019-02-24 15:20:00,2
2019-02-24 15:43:00,1
2019-02-24 16:12:00,1
2019-02-24 16:47:00,1
2019-02-24 17:09:00,1
2019-02-24 19:49:00,1
2019-02-24 20:12:00,1
2019-02-24 20:18:00,1
2019-02-24 20:30:00,1
2019-02-24 20:34:00,2
2019-02-24 21:08:00,1
2019-02-24 21:09:00,1
2019-02-24 21:34:00,1
2019-02-24 21:43:00,2
2019-02-24 21:44:00,2
2019-02-24 21:47:00,1
2019-02-24 21:49:00,1
2019-02-24 21:53:00,1
2019-02-24 21:56:00,2
2019-02-24 21:58:00,1
2019-02-24 21:59:00,1
2019-02-24 22:06:00,1
2019-02-24 22:07:00,2
2019-02-24 22:08:00,1
2019-02-24 22:12:00,1
2019-02-24 22:15:00,2
2019-02-24 22:17:00,1
2019-02-24 22:26:00,1
2019-02-24 22:27:00,2
2019-02-24 22:28:00,1
2019-02-24 22:29:00,1
2019-02-24 22:30:00,1
2019-02-24 22:32:00,1
2019-02-24 23:10:00,1
2019-02-24 23:13:00,1
2019-02-24 23:17:00,1
2019-02-24 23:20:00,3
2019-02-24 23:21:00,9
2019-02-24 23:22:00,9
2019-02-24 23:23:00,9
2019-02-24 23:24:00,9
2019-02-24 23:25:00,9
2019-02-24 23:26:00,4
2019-02-24 23:31:00,4
2019-02-24 23:32:00,2
2019-02-24 23:41:00,8
2019-02-24 23:42:00,11
2019-02-24 23:43:00,10
2019-02-24 23:44:00,10
2019-02-24 23:45:00,11
2019-02-24 23:46:00,2
2019-02-24 23:51:00,4
2019-02-24 23:55:00,1
2019-02-24 23:56:00,2
2019-02-24 23:59:00,1
