23,select * from stellarMassFSPSGranEarlyNoDust where specObjId=#
2019-02-24 00:20:00,1
2019-02-24 02:08:00,1
2019-02-24 03:30:00,1
2019-02-24 04:23:00,1
2019-02-24 05:21:00,1
2019-02-24 06:40:00,1
2019-02-24 07:42:00,1
2019-02-24 08:34:00,1
2019-02-24 10:08:00,1
2019-02-24 10:58:00,1
2019-02-24 11:53:00,1
2019-02-24 12:40:00,1
2019-02-24 15:35:00,1
2019-02-24 16:55:00,1
2019-02-24 17:40:00,1
2019-02-24 18:04:00,1
2019-02-24 18:17:00,1
2019-02-24 18:51:00,1
2019-02-24 19:39:00,1
2019-02-24 20:27:00,1
2019-02-24 22:24:00,1
2019-02-24 22:41:00,1
2019-02-24 22:53:00,1
