1219,"select p.objid,p.ra,p.dec,p.u,p.g,p.r,p.i,p.z FROM PhotoPrimary AS p WHERE type=# AND ((flags_r & #) != #)AND ((flags_r & #) = #)AND (((flags_r & #) = #) or (psfmagerr_g <= #))AND (((flags_r & #) = #) or (flags_r & #) = #)AND p.ra BETWEEN (#-#) AND (#+#) AND p.dec BETWEEN (#-#) AND (#+#) ORDER BY p.objid"
2019-02-10 19:41:00,1
2019-02-10 19:48:00,251
2019-02-10 19:49:00,79
2019-02-10 19:50:00,16
2019-02-10 19:51:00,27
2019-02-10 19:52:00,173
2019-02-10 19:53:00,45
2019-02-10 19:54:00,45
2019-02-10 19:55:00,165
2019-02-10 19:56:00,49
2019-02-10 19:57:00,148
2019-02-10 19:58:00,22
2019-02-10 19:59:00,49
2019-02-10 20:00:00,114
2019-02-10 20:01:00,22
2019-02-10 20:02:00,6
2019-02-10 20:41:00,1
2019-02-10 20:44:00,1
2019-02-10 22:17:00,1
2019-02-10 22:21:00,1
2019-02-10 22:25:00,1
2019-02-10 22:28:00,1
2019-02-10 22:31:00,1
