3,"SELECT ra,dec,z,modelMag_u,modelMag_r,modelMag_z,class FROM SpecPhoto   WHERE z># AND type= # AND class <> &&&"
2019-02-10 12:18:00,1
2019-02-10 12:19:00,1
2019-02-10 12:23:00,1
