2,"SELECT ra,dec,z,modelMag_u,modelMag_r,modelMag_z,class FROM SpecPhoto   WHERE z>#  AND type= # AND class = &&&"
2019-02-10 12:24:00,1
2019-02-10 12:25:00,1
